id,project_id,event_type,date_id,source_claim,notes
wba_evt_01HREAL028,wba_prj_01HREAL024,commissioned,wba_date_01HREAL039,wba_clm_01HREAL032,Maputo opened 2018-11-10
wba_evt_01HREAL029,wba_prj_01HREAL026,construction_start,wba_date_01HREAL041,wba_clm_01HREAL034,Dakar TER start 2016
wba_evt_01HREAL030,wba_prj_01HREAL026,commissioned,wba_date_01HREAL042,wba_clm_01HREAL034,Dakar commissioned 2021
wba_evt_01HREAL031,wba_prj_01HREAL027,commissioned,wba_date_01HREAL044,wba_clm_01HREAL035,Bui commissioned 2013
wba_evt_01HREAL032,wba_prj_01HREAL028,commissioned,wba_date_01HREAL046,wba_clm_01HREAL036,Lauca first unit 2017
wba_evt_01HREAL033,wba_prj_01HREAL030,commissioned,wba_date_01HREAL049,wba_clm_01HREAL038,Malawi fibre 2018-04
wba_evt_01HREAL034,wba_prj_01HREAL031,commissioned,wba_date_01HREAL052,wba_clm_01HREAL039,Tokwe-Mukosi completed Dec 2016
wba_evt_01HREAL035,wba_prj_01HREAL033,commissioned,wba_date_01HREAL055,wba_clm_01HREAL041,Olkaria commissioned 2015
wba_evt_01HREAL036,wba_prj_01HREAL034,construction_start,wba_date_01HREAL055,wba_clm_01HREAL042,Outer Ring launched Jan 2015
wba_evt_01HREAL037,wba_prj_01HREAL036,commissioned,wba_date_01HREAL058,wba_clm_01HREAL043,KKIA commissioned 2021
wba_evt_01HREAL038,wba_prj_01HREAL037,construction_start,wba_date_01HREAL061,wba_clm_01HREAL044,Tanzania SGR signed Dec 2021
wba_evt_01HREAL039,wba_prj_01HREAL041,commissioned,wba_date_01HREAL064,wba_clm_01HREAL048,Noor Phase I 2016
wba_evt_01HREAL040,wba_prj_01HREAL042,commissioned,wba_date_01HREAL068,wba_clm_01HREAL049,Walvis Bay launched 2 Aug 2019
wba_evt_01HREAL041,wba_prj_01HREAL043,commissioned,wba_date_01HREAL069,wba_clm_01HREAL050,Kribi Phase I 2018
wba_evt_01HREAL042,wba_prj_01HREAL044,commissioned,wba_date_01HREAL075,wba_clm_01HREAL051,Gautrain commissioned 2012
wba_evt_01HREAL043,wba_prj_01HREAL045,commissioned,wba_date_01HREAL076,wba_clm_01HREAL052,Busanga commissioned Oct 2023
wba_evt_01HREAL044,wba_prj_01HREAL046,construction_start,wba_date_01HREAL077,wba_clm_01HREAL053,New Capital CBD structures 2022
wba_evt_01HREAL045,wba_prj_01HREAL047,commissioned,wba_date_01HREAL078,wba_clm_01HREAL054,AIBD opened Dec 2017
wba_evt_01HREAL046,wba_prj_01HREAL048,commissioned,wba_date_01HREAL080,wba_clm_01HREAL055,BK Arena inaugurated Aug 2019
wba_evt_01HREAL047,wba_prj_01HREAL049,commissioned,wba_date_01HREAL082,wba_clm_01HREAL056,Karuma commissioned Sep 2024
wba_evt_01HREAL048,wba_prj_01HREAL050,commissioned,wba_date_01HREAL084,wba_clm_01HREAL058,Zagtouli commissioned Nov 2017
wba_evt_01HREAL049,wba_prj_01HREAL051,abandoned,wba_date_01HREAL086,wba_clm_01HREAL059,Ajaokuta abandoned 1994 98%
wba_evt_01HREAL050,wba_prj_01HREAL052,commissioned,wba_date_01HREAL088,wba_clm_01HREAL060,TAZARA commissioned 1975
wba_evt_01HREAL051,wba_prj_01HREAL053,commissioned,wba_date_01HREAL090,wba_clm_01HREAL061,Akosombo commissioned 1965
wba_evt_01HREAL052,wba_prj_01HREAL054,commissioned,wba_date_01HREAL092,wba_clm_01HREAL062,Cahora commissioned 1979
wba_evt_01HREAL053,wba_prj_01HREAL055,commissioned,wba_date_01HREAL094,wba_clm_01HREAL063,Aswan inaugurated 1971
wba_evt_01HREAL054,wba_prj_01HREAL056,commissioned,wba_date_01HREAL096,wba_clm_01HREAL064,GMR Phase I 1991
wba_evt_01HREAL055,wba_prj_01HREAL056,delayed,wba_date_01HREAL102,wba_clm_01HREAL064,GMR Phase III-IV delayed post-2011
wba_evt_01HREAL056,wba_prj_01HREAL057,commissioned,wba_date_01HREAL099,wba_clm_01HREAL065,Merowe commissioned 2009
wba_evt_01HREAL057,wba_prj_01HREAL058,commissioned,wba_date_01HREAL101,wba_clm_01HREAL066,Soubre commissioned Nov 2017
wba_evt_01HREAL058,wba_prj_01HREAL059,commissioned,wba_date_01HREAL103,wba_clm_01HREAL067,Kilamba commissioned 2011
wba_evt_01HREAL059,wba_prj_01HREAL060,delayed,wba_date_01HREAL102,wba_clm_01HREAL068,Kandadji delayed since 2008
wba_evt_01HREAL060,wba_prj_01HREAL061,suspended,wba_date_01HREAL106,wba_clm_01HREAL069,Bagamoyo suspended 2019
wba_evt_01HREAL061,wba_prj_01HREAL062,construction_started,wba_date_01HREAL109,wba_clm_01HREAL070,EACOP FID 2022
wba_evt_01HREAL062,wba_prj_01HREAL063,proposed,wba_date_01HREAL110,wba_clm_01HREAL071,Lobito concession 2023
wba_evt_01HREAL063,wba_prj_01HREAL064,delayed,wba_date_01HREAL111,wba_clm_01HREAL072,Abidjan Metro delayed 2028
wba_evt_01HREAL064,wba_prj_01HREAL065,commissioned,wba_date_01HREAL114,wba_clm_01HREAL073,Djamaa inaugurated 2024
wba_evt_01HREAL065,wba_prj_01HREAL066,commissioned,wba_date_01HREAL116,wba_clm_01HREAL074,East-West Highway 2013
wba_evt_01HREAL066,wba_prj_01HREAL067,commissioned,wba_date_01HREAL118,wba_clm_01HREAL075,Enfidha commissioned 2009
wba_evt_01HREAL067,wba_prj_01HREAL068,cancelled,wba_date_01HREAL120,wba_clm_01HREAL076,Doraleh cancelled 2018
wba_evt_01HREAL068,wba_prj_01HREAL069,commissioned,wba_date_01HREAL122,wba_clm_01HREAL077,Morupule B commissioned 2012-2014 defective
wba_evt_01HREAL069,wba_prj_01HREAL070,commissioned,wba_date_01HREAL125,wba_clm_01HREAL078,Africa CDC handover Jan 2023
wba_evt_01HREAL070,wba_prj_01HREAL071,construction_started,wba_date_01HREAL126,wba_clm_01HREAL079,Simandou construction 2023
wba_evt_01HREAL071,wba_prj_01HREAL072,commissioned,wba_date_01HREAL129,wba_clm_01HREAL080,Abuja opened July 2018
wba_evt_01HREAL072,wba_prj_01HREAL073,commissioned,wba_date_01HREAL133,wba_clm_01HREAL081,Niger-Benin completed 2023
wba_evt_01HREAL073,wba_prj_01HREAL074,commissioned,wba_date_01HREAL137,wba_clm_01HREAL082,2Africa completed 2025
wba_evt_01HREAL074,wba_prj_01HREAL075,commissioned,wba_date_01HREAL135,wba_clm_01HREAL083,Bumbuna completed 2009
wba_evt_01HREAL075,wba_prj_01HREAL076,commissioned,wba_date_01HREAL139,wba_clm_01HREAL059,Jiji inaugurated Jun 2025
wba_evt_01HREAL076,wba_prj_01HREAL077,commissioned,wba_date_01HREAL141,wba_clm_01HREAL060,Cabo Verde airports modernised Jan 2026
wba_evt_01HREAL077,wba_prj_01HREAL078,commissioned,wba_date_01HREAL143,wba_clm_01HREAL061,Boali II completed Aug 2021
wba_evt_01HREAL078,wba_prj_01HREAL079,construction_started,wba_date_01HREAL144,wba_clm_01HREAL062,Djermaya EPC 23 May 2023
wba_evt_01HREAL079,wba_prj_01HREAL080,commissioned,wba_date_01HREAL146,wba_clm_01HREAL063,Bambao opened May 2017
wba_evt_01HREAL080,wba_prj_01HREAL081,commissioned,wba_date_01HREAL149,wba_clm_01HREAL064,Pointe-Noire Brazzaville 2016
wba_evt_01HREAL081,wba_prj_01HREAL082,commissioned,wba_date_01HREAL151,wba_clm_01HREAL065,Nguema-Sipopo 2012
wba_evt_01HREAL082,wba_prj_01HREAL083,commissioned,wba_date_01HREAL155,wba_clm_01HREAL066,Hirgigo Nov 2017
wba_evt_01HREAL083,wba_prj_01HREAL084,commissioned,wba_date_01HREAL157,wba_clm_01HREAL067,Maguga 2001
wba_evt_01HREAL084,wba_prj_01HREAL085,construction_started,wba_date_01HREAL158,wba_clm_01HREAL068,Trans-Gabon 2026
wba_evt_01HREAL085,wba_prj_01HREAL086,commissioned,wba_date_01HREAL160,wba_clm_01HREAL069,Senegambia Jan 2019
wba_evt_01HREAL086,wba_prj_01HREAL087,commissioned,wba_date_01HREAL161,wba_clm_01HREAL070,Bissau-Safim Jun 2025
wba_evt_01HREAL087,wba_prj_01HREAL088,commissioned,wba_date_01HREAL163,wba_clm_01HREAL071,Katse 1997
wba_evt_01HREAL088,wba_prj_01HREAL089,commissioned,wba_date_01HREAL159,wba_clm_01HREAL072,Mount Coffee 2016
wba_evt_01HREAL089,wba_prj_01HREAL090,proposed,wba_date_01HREAL164,wba_clm_01HREAL073,Sahofika ESIA 2019
wba_evt_01HREAL090,wba_prj_01HREAL091,commissioned,wba_date_01HREAL057,wba_clm_01HREAL074,Gouina Dec 2022
wba_evt_01HREAL091,wba_prj_01HREAL092,commissioned,wba_date_01HREAL169,wba_clm_01HREAL075,Friendship Port 1986
wba_evt_01HREAL092,wba_prj_01HREAL093,commissioned,wba_date_01HREAL173,wba_clm_01HREAL076,Metro Express Oct 2019
wba_evt_01HREAL093,wba_prj_01HREAL094,proposed,wba_date_01HREAL174,wba_clm_01HREAL077,Sao Tome proposed 2024
wba_evt_01HREAL094,wba_prj_01HREAL095,construction_started,wba_date_01HREAL175,wba_clm_01HREAL078,Port Victoria dredging Feb 2023
wba_evt_01HREAL095,wba_prj_01HREAL096,commissioned,wba_date_01HREAL177,wba_clm_01HREAL079,Mogadishu Dec 2019
wba_evt_01HREAL096,wba_prj_01HREAL097,commissioned,wba_date_01HREAL179,wba_clm_01HREAL080,Juba-Nimule Nov 2012
wba_evt_01HREAL097,wba_prj_01HREAL098,commissioned,wba_date_01HREAL159,wba_clm_01HREAL081,Lome Oct 2014
wba_evt_01HREAL098,wba_prj_01HREAL099,commissioned,wba_date_01HREAL175,wba_clm_01HREAL082,Porto Ingles Sep 2022
wba_evt_01HREAL099,wba_prj_01HREAL100,construction_start,wba_date_01HREAL181,wba_clm_01HREAL084,Construction started 2021
