id,canonical_name,aliases,country_iso3,sectors,status,location_precision,lat,lon,geom_wkt,summary,notes,created_at,updated_at
wba_prj_01HREAL012,Kenya Advanced Institute of Science and Technology at Konza,Kenya-KAIST,KEN,schools|universities|telecommunications,proposed,approximate,-1.057,37.095,,"Kenya-KAIST at Konza Technopolis, Korea Eximbank EDCF $94.7m loan, KAIST consortium design, 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL013,Lamu Port First Three Berths,Lamu Port Berths 1-3,KEN,ports,commissioned,exact,-2.416,40.910,POINT(40.910 -2.416),"Lamu Port first 3 berths by CCCC/CRBC $484m, Phase 1 of LAPSSET, Berth 1 commissioned 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL014,Hawassa Industrial Park,Hawassa Park,ETH,industrial_parks|manufacturing,commissioned,exact,7.060,38.476,POINT(38.476 7.060),"Hawassa Industrial Park 1.38m sqm by CCECC $246m, 9 months build, inaugurated 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL015,Kazungula Bridge,Kazungula Bridge,BWA,bridges,commissioned,exact,-17.775,25.262,POINT(25.262 -17.775),"Kazungula 923m extradosed road/rail bridge by Daewoo E&C $161m, Botswana/Zambia cross-border, 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL016,Beitbridge Border Post Modernisation,Beitbridge Border,ZWE,other,commissioned,exact,-22.217,29.987,POINT(29.987 -22.217),"Beitbridge border post $300m modernisation by Raubex/Zimborders, 17yr BOT, commissioned Dec 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL017,TelOne National Broadband Telecommunication Project,TelOne NBB,ZWE,telecommunications|digital_infrastructure,commissioned,approximate,-17.829,31.053,,"TelOne broadband and 2 data centres by Huawei, $98.6m China Exim PBC, 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL018,Thwake Multipurpose Water Development Program,Thwake Dam,KEN,dams|water_supply|hydropower,construction_started,exact,-1.789,37.738,POINT(37.738 -1.789),"Thwake Dam 80.5m 534M m3 by CGGC, AfDB $370m Phase 1, signed 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL019,Mombasa Port Second Container Terminal,Mombasa Berths 20-21,KEN,ports,commissioned,exact,-4.054,39.636,POINT(39.636 -4.054),"Mombasa Port second terminal by Toyo Construction, JICA Sh32bn loan, 2016/2022",,2026-09-11,2026-09-11
wba_prj_01HREAL020,Adama Wind Power Project I & II,Adama Wind,ETH,wind_power,commissioned,exact,8.458,39.250,POINT(39.250 8.458),"Adama 204 MW wind by CGCOC/HydroChina, 136 turbines Goldwind, China Exim $392m, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL021,Addis Ababa Bole International Airport Expansion,Bole Airport Expansion,ETH,airports,commissioned,exact,8.978,38.797,POINT(38.797 8.978),"Bole Airport expansion by CCCC, capacity 7m to 22m, financed China Exim, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL022,Kafue Gorge Lower Hydropower Station,Kafue Gorge Lower,ZMB,hydropower|dams,commissioned,exact,-15.803,28.424,POINT(28.424 -15.803),"Kafue Gorge Lower 750 MW 5x150MW by Sinohydro, $2bn, 85% Exim+ICBC, 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL023,Julius Nyerere Hydropower Plant and Dam,Nyerere Dam,TZA,hydropower|dams,commissioned,exact,-7.809,37.861,POINT(37.861 -7.809),"Nyerere 2115 MW 9x235MW by Arab Contractors/Elsewedy, $2.9bn, 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL024,Maputo-Katembe Bridge,Maputo Bay Bridge,MOZ,bridges,commissioned,exact,-25.973,32.572,POINT(32.572 -25.973),"Maputo-Katembe 3,041m suspension by CRBC, $785m 85% Exim loan, opened 2018-11-10",,2026-09-11,2026-09-11
wba_prj_01HREAL025,New Bugesera International Airport,Bugesera Airport,RWA,airports,construction_started,exact,-2.130,30.181,POINT(30.181 -2.130),"Bugesera Airport $818m PPP by Mota-Engil 75%, 25yr DBFOM, construction started",,2026-09-11,2026-09-11
wba_prj_01HREAL026,Dakar Regional Express Train,Dakar TER,SEN,railways|public_transport,commissioned,corridor,,,"LINESTRING(-17.45 14.69, -17.07 14.78)","Dakar TER 55km electrified double track by Eiffage/Yapi Merkezi/CSE, ERTMS, 2016-2021",,2026-09-11,2026-09-11
wba_prj_01HREAL027,Bui Hydropower Dam,Bui Dam,GHA,hydropower|dams,commissioned,exact,8.278,-2.121,POINT(-2.121 8.278),"Bui 400MW 3x133MW by Sinohydro, $790m, 60yr, commissioned 2013",,2026-09-11,2026-09-11
wba_prj_01HREAL028,Lauca Hydroelectric Power Station,Lauca Dam,AGO,hydropower|dams,commissioned,exact,-9.743,15.121,POINT(15.121 -9.743),"Lauca 2070MW 6x338MW by Odebrecht/OEC, $4.3bn, ANDRITZ turbines, 2017-2023",,2026-09-11,2026-09-11
wba_prj_01HREAL029,Kampala-Entebbe Expressway,Kampala-Entebbe Road,UGA,roads,commissioned,corridor,,,"LINESTRING(32.56 0.32, 32.47 0.06)","Kampala-Entebbe 51.4km 4-lane toll by CCCC, $476m 2/3 Exim $350m, 2018",,2026-09-11,2026-09-11
wba_prj_01HREAL030,National Fibre Backbone Project Phase I-II,Malawi Fibre Backbone,MWI,telecommunications|digital_infrastructure,commissioned,exact,-13.962,33.787,POINT(33.787 -13.962),"Malawi 4000km fibre by Huawei, $121.8m China Exim, completed 2018",,2026-09-11,2026-09-11
wba_prj_01HREAL031,Tokwe-Mukosi Dam,Tokwe-Mukosi,ZWE,dams|water_supply,commissioned,exact,-20.728,30.507,POINT(30.507 -20.728),"Tokwe-Mukosi Dam 90.3m CFR 1.8Bn m3 by Webuild, completed Dec 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL032,NetOne Broadband Expansion Project Phase 3,NetOne Phase 3,ZWE,telecommunications|digital_infrastructure,commissioned,approximate,-17.825,31.033,,"NetOne 345 base stations 4G/5G by Huawei, RMB485m $71m, 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL033,Olkaria Geothermal Power Plants,Olkaria Geothermal,KEN,hydropower,commissioned,exact,-0.892,36.287,POINT(36.287 -0.892),"Olkaria Geothermal 140MW Units 4&5 + Olkaria V by JICA/Toshiba, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL034,Nairobi Outer Ring Road Improvement Project,Outer Ring Road,KEN,roads,commissioned,corridor,,,"LINESTRING(36.86 -1.28, 36.89 -1.31)","Outer Ring Road 13km dual carriageway by China Wu Yi, AfDB UA77.6m, launched 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL036,Kenneth Kaunda International Airport Expansion,KKIA Expansion,ZMB,airports,commissioned,exact,-15.325,28.449,POINT(28.449 -15.325),"KKIA Terminal 2 6M pax by CJIC, $360m Exim loan, 2015-2021",,2026-09-11,2026-09-11
wba_prj_01HREAL037,Tanzania Standard Gauge Railway Lots 3 & 4,Tanzania SGR 3-4,TZA,railways,construction_started,corridor,,,"LINESTRING(33.44 -6.16, 32.80 -5.02)","Tanzania SGR Makutopora-Tabora 368km + Tabora-Isaka 130km by Yapi Merkezi, $1.9bn, Dec 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL038,Nacala Railway and Port Corridor,Nacala Corridor,MOZ,railways|ports,commissioned,corridor,,,"LINESTRING(40.78 -14.54, 35.58 -14.38)","Nacala 912km rail+port corridor by Vale/Mitsui, 18MTPA coal, 2015-2017",,2026-09-11,2026-09-11
wba_prj_01HREAL039,Tema Port Expansion Terminal 3,Tema Port T3,GHA,ports,commissioned,exact,5.618,-0.018,POINT(-0.018 5.618),"Tema Port T3 3M TEU by APM/Bollore/CHEC, 1.4km quay, 2016-2019",,2026-09-11,2026-09-11
wba_prj_01HREAL040,Caculo Cabaca Hydropower Station,Caculo Cabaca,AGO,hydropower|dams,construction_started,exact,-9.312,16.016,POINT(16.016 -9.312),"Caculo Cabaca 2172MW by CGGC, ICBC 85% $4.5bn, construction Aug 2017, expected 2026",,2026-09-11,2026-09-11
wba_prj_01HREAL041,Noor Ouarzazate Solar Complex,Noor Ouarzazate,MAR,solar_power,commissioned,exact,31.048,-6.869,POINT(-6.869 31.048),"Noor Ouarzazate 580MW solar by ACWA Power/MASEN, Phase I 160MW 2016, $840m",,2026-09-11,2026-09-11
wba_prj_01HREAL042,Walvis Bay New Container Terminal,Walvis Bay Terminal,NAM,ports,commissioned,exact,-22.959,14.481,POINT(14.481 -22.959),"Walvis Bay 40ha reclaimed 750k TEU by CHEC, $260m, AfDB $200m, launched 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL043,Kribi Deep Sea Port Phase I & II,Kribi Port,CMR,ports,commissioned,exact,2.945,9.909,POINT(9.909 2.945),"Kribi Deep Sea Port 615m+715m wharf by CHEC, CMA CGM/Bollore concession, 2018/2025",,2026-09-11,2026-09-11
wba_prj_01HREAL044,Gautrain Rapid Rail System,Gautrain,ZAF,railways|public_transport,commissioned,corridor,,,"LINESTRING(28.05 -26.20, 28.11 -25.75)","Gautrain 80km 10 stations Johannesburg-Pretoria by Bombela Bouygues/Bombardier, 2006-2012",,2026-09-11,2026-09-11
wba_prj_01HREAL045,Busanga Hydropower Plant,Busanga,COD,hydropower|dams,commissioned,exact,-10.917,26.909,POINT(26.909 -10.917),"Busanga 240MW by PowerChina/CREC, SICOMINES $14bn, commissioned Oct 2023",,2026-09-11,2026-09-11
wba_prj_01HREAL046,New Administrative Capital Central Business District,New Capital CBD,EGY,urban_development,commissioned,exact,30.020,31.667,POINT(31.667 30.020),"New Capital CBD 20 towers 385.8m Iconic Tower by CSCEC $3bn, structures 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL047,Blaise Diagne International Airport,AIBD Dakar,SEN,airports,commissioned,exact,14.670,-17.073,POINT(-17.073 14.670),"Blaise Diagne Airport 3M pax by Limak/Summa, BOT 25yr, opened Dec 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL048,BK Arena,Kigali Arena,RWA,other,commissioned,exact,-1.953,30.091,POINT(30.091 -1.953),"BK Arena 10,000 seats 28,750m2 by Summa Construction, 6 months 2019, $104m",,2026-09-11,2026-09-11
wba_prj_01HREAL049,Karuma Hydropower Plant,Karuma,UGA,hydropower|dams,commissioned,exact,2.235,32.233,POINT(32.233 2.235),"Karuma 600MW 6x100MW by Sinohydro, $1.7bn 85% Exim, commissioned Sep 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL050,Zagtouli Solar Power Station,Zagtouli Solar,BFA,solar_power,commissioned,exact,12.382,-1.477,POINT(-1.477 12.382),"Zagtouli 33MW 129k panels 55ha by Cegelec/Vinci, EU 25m + AFD 22.5m, commissioned Nov 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL053,Akosombo Dam,Volta Dam,GHA,hydropower|dams,commissioned,exact,-0.054,0.053,POINT(0.053 -0.054),"Akosombo Dam by Impregilo, 1961-1965, Volta River",,2026-09-11,2026-09-11
wba_prj_01HREAL055,Aswan High Dam,Aswan Dam,EGY,hydropower|dams,commissioned,exact,23.973,32.881,POINT(32.881 23.973),"Aswan High Dam by Soviet Hydroproject, 1960-1971",,2026-09-11,2026-09-11
wba_prj_01HREAL056,Great Man-Made River Phases I-III,GMR,LBY,water_supply|irrigation,commissioned,corridor,,,"LINESTRING(16.0 32.0, 20.0 30.0)","Great Man-Made River by Dong Ah Korea, Phases I-II 1984-1996, III delayed post-2011",,2026-09-11,2026-09-11
wba_prj_01HREAL061,Bagamoyo Port and Special Economic Zone,Bagamoyo Port,TZA,ports|special_economic_zones,suspended,approximate,-6.478,38.901,,"Bagamoyo Port $10bn by China Merchants/Oman, framework 2013 suspended 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL062,East African Crude Oil Pipeline,EACOP,UGA,oil_gas,construction_started,corridor,,,"LINESTRING(30.00 1.37, 39.20 -6.82)","EACOP 1443km Hoima-Tanga by TotalEnergies/CNOOC, FID 2022, target 2026",,2026-09-11,2026-09-11
wba_prj_01HREAL065,Djamaa El Djazair - Great Mosque of Algiers,Great Mosque Algiers,DZA,other,commissioned,exact,36.739,3.031,POINT(3.031 36.739),"Great Mosque of Algiers by CSCEC China 1bn 2012-2019, inaugurated 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL068,Doraleh Container Terminal,Doraleh DCT,DJI,ports,cancelled,exact,11.600,43.150,POINT(43.150 11.600),Doraleh Container Terminal by DP World UAE BOT 30yr 2006-2018 cancelled 2018,,2026-09-11,2026-09-11
wba_prj_01HREAL069,Morupule B Power Station,Morupule B,BWA,other,commissioned,exact,-22.514,27.030,POINT(27.030 -22.514),"Morupule B 600MW 4x150MW by CNEEC China $970m, commissioned 2012-2014 defective",,2026-09-11,2026-09-11
wba_prj_01HREAL078,Boali Hydropower Complex Rehabilitation,Boali Complex,CAF,hydropower|dams,commissioned,exact,4.800,18.100,POINT(18.100 4.800),"Boali I/II/III 15+20+10MW by CGGC China, AfDB, HNAC Boali 2 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL080,Bambao-Mtsanga Hospital,Hôpital Bambao,COM,hospitals,commissioned,exact,-11.750,43.400,POINT(43.400 -11.750),"Bambao 120-bed Hospital by China Jiangsu RMB56.5m, El-Maarouf CHU by CSYIC RMB430m, grant 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL081,Pointe-Noire to Brazzaville National Highway No.1,RN1 Dream Road,COG,roads,commissioned,corridor,,,"LINESTRING(15.03 -4.77, 15.27 -4.26)","Pointe-Noire-Brazzaville 535km RN1 by CSCEC China, Mar 2008-Mar 2016, inaugurated 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL086,Senegambia Bridge,Trans-Gambia Bridge,GMB,bridges|roads,commissioned,exact,13.534,-15.928,POINT(-15.928 13.534),"Senegambia Bridge 1.9km by Isolux Corsan Spain/Arezki Senegal, AfDB/EU, opened Jan 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL087,Bissau-Safim Highway,Bissau Safim 8.2km,GNB,roads,commissioned,exact,11.865,-15.583,POINT(-15.583 11.865),"Bissau-Safim 8.2km by Longjian China, $30m grant, inaugurated Jun 2025",,2026-09-11,2026-09-11
wba_prj_01HREAL090,Sahofika Hydropower Project,Sahofika,MDG,hydropower|dams,proposed,exact,-19.250,47.850,POINT(47.850 -19.250),"Sahofika 192MW by Eranove/Eiffage France, ESIA 2019, pre-construction",,2026-09-11,2026-09-11
wba_prj_01HREAL093,Metro Express Light Rail,Metro Express,MUS,railways|public_transport,commissioned,corridor,,,"LINESTRING(57.49 -20.24, 57.50 -20.16)","Metro Express 26km Curepipe-Port Louis 19 stations by Larsen & Toubro India Rs557m, 2017-2019",,2026-09-11,2026-09-11
wba_prj_01HREAL094,Sao Tome International Airport Upgrade,Sao Tome Airport,STP,airports,proposed,exact,0.380,6.712,POINT(6.712 0.380),"Sao Tome Airport 2,170 to 2,800m by FB Group Turkey 300m BOT + China $100m grant, 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL101,El Dabaa Nuclear Power Plant,,EGY,other,commissioned,country,,,,El Dabaa Nuclear Power Plant by Rosatom,,2026-09-11,2026-09-11
wba_prj_01HREAL102,Egypt High-Speed Rail 2000km,,EGY,railways,commissioned,country,,,,Egypt High-Speed Rail 2000km by Siemens Mobility,,2026-09-11,2026-09-11
wba_prj_01HREAL103,Lekki Deep Sea Port,,NGA,ports,commissioned,country,,,,Lekki Deep Sea Port by China Harbour Engineering Company,,2026-09-11,2026-09-11
wba_prj_01HREAL104,Zungeru Hydropower 700MW,,NGA,hydropower,commissioned,country,,,,Zungeru Hydropower 700MW by Sinohydro,,2026-09-11,2026-09-11
wba_prj_01HREAL105,Nachtigal Hydropower 420MW,,CMR,hydropower,commissioned,country,,,,Nachtigal Hydropower 420MW by EDF,,2026-09-11,2026-09-11
wba_prj_01HREAL106,Koysha Hydropower 2200MW,,ETH,hydropower,commissioned,country,,,,Koysha Hydropower 2200MW by WeBuild,,2026-09-11,2026-09-11
wba_prj_01HREAL107,Second River Niger Bridge,,NGA,bridges,commissioned,country,,,,Second River Niger Bridge by Julius Berger,,2026-09-11,2026-09-11
wba_prj_01HREAL108,Antonio Agostinho Neto Airport Luanda,,AGO,airports,commissioned,country,,,,Antonio Agostinho Neto Airport Luanda by AVIC International,,2026-09-11,2026-09-11
wba_prj_01HREAL109,Henri Konan Bedie Bridge,,CIV,bridges,commissioned,country,,,,Henri Konan Bedie Bridge by Bouygues Travaux Publics,,2026-09-11,2026-09-11
wba_prj_01HREAL110,Isimba Hydropower 183MW,,UGA,hydropower,commissioned,country,,,,Isimba Hydropower 183MW by CWE,,2026-09-11,2026-09-11
wba_prj_01HREAL111,Lagos Blue Line 27km,,NGA,public_transport,commissioned,country,,,,Lagos Blue Line 27km by CCECC,,2026-09-11,2026-09-11
wba_prj_01HREAL112,Algiers Metro Line 1,,DZA,public_transport,commissioned,country,,,,Algiers Metro Line 1 by VINCI,,2026-09-11,2026-09-11
wba_prj_01HREAL113,Memve'ele Hydropower 211MW,,CMR,hydropower,commissioned,country,,,,Memve'ele Hydropower 211MW by Sinohydro,,2026-09-11,2026-09-11
wba_prj_01HREAL114,Lagos-Ibadan Railway 157km,,NGA,railways,commissioned,country,,,,Lagos-Ibadan Railway 157km by CCECC,,2026-09-11,2026-09-11
wba_prj_01HREAL115,Benban Solar Park 390MW,,EGY,solar_power,commissioned,country,,,,Benban Solar Park 390MW by Scatec,,2026-09-11,2026-09-11
wba_prj_01HREAL116,Tanger Med Port Complex,,MAR,ports,commissioned,country,,,,Tanger Med Port Complex by Bouygues Construction,,2026-09-11,2026-09-11
wba_prj_01HREAL117,Casablanca Tramway,,MAR,public_transport,commissioned,country,,,,Casablanca Tramway by Alstom,,2026-09-11,2026-09-11
wba_prj_01HREAL118,Kotoka Airport Terminal 3,,GHA,airports,commissioned,country,,,,Kotoka Airport Terminal 3 by Mapa Construction,,2026-09-11,2026-09-11
wba_prj_01HREAL119,Medupi Power Station 4800MW,,ZAF,other,commissioned,country,,,,Medupi Power Station 4800MW by Hitachi Power Europe,,2026-09-11,2026-09-11
wba_prj_01HREAL120,Gibe III Hydropower 1870MW,,ETH,hydropower,commissioned,country,,,,Gibe III Hydropower 1870MW by WeBuild,,2026-09-11,2026-09-11
wba_prj_01HREAL121,Souapiti Hydropower 450MW,,GIN,hydropower,commissioned,country,,,,Souapiti Hydropower 450MW by CWE,,2026-09-11,2026-09-11
wba_prj_01HREAL122,Kaleta Hydropower 240MW,,GIN,hydropower,commissioned,country,,,,Kaleta Hydropower 240MW by CWE,,2026-09-11,2026-09-11
wba_prj_01HREAL123,Rusumo Falls Hydropower 80MW,,RWA,hydropower,commissioned,country,,,,Rusumo Falls Hydropower 80MW by CGCOC Group,,2026-09-11,2026-09-11
wba_prj_01HREAL124,Julius Nyerere Airport Terminal 3,,TZA,airports,commissioned,country,,,,Julius Nyerere Airport Terminal 3 by BAM International,,2026-09-11,2026-09-11
wba_prj_01HREAL125,Kinguele Aval Hydropower 35MW,,GAB,hydropower,commissioned,country,,,,Kinguele Aval Hydropower 35MW by Sinohydro Bureau 16,,2026-09-11,2026-09-11
wba_prj_01HREAL126,Dar es Salaam BRT Phase 1,,TZA,public_transport,commissioned,country,,,,Dar es Salaam BRT Phase 1 by Strabag International,,2026-09-11,2026-09-11
wba_prj_01HREAL127,Abuja-Kaduna Railway 186.5km,,NGA,railways,commissioned,country,,,,Abuja-Kaduna Railway 186.5km by CCECC,,2026-09-11,2026-09-11
wba_prj_01HREAL128,Nairobi-Nakuru-Mau Summit Highway,,KEN,roads,awarded,country,,,,Rironi-Mau Summit 175km by CRBC China plus NSSF preferred Oct 2025 after VINCI cancelled,,2026-09-11,2026-09-11
wba_prj_01HREAL129,Diamniadio Olympic Stadium 50000,,SEN,other,commissioned,country,,,,Diamniadio Olympic Stadium 50000 by Summa Insaat,,2026-09-11,2026-09-11
wba_prj_01HREAL130,Autoroute de l'Avenir 42.5km,,SEN,roads,commissioned,country,,,,Autoroute de l'Avenir 42.5km by Eiffage,,2026-09-11,2026-09-11
wba_prj_01HREAL131,Lusaka-Ndola Dual Carriageway 321km,,ZMB,roads,commissioned,country,,,,Lusaka-Ndola Dual Carriageway 321km by China Jiangxi,,2026-09-11,2026-09-11
wba_prj_01HREAL132,Kusile Power Station 4800MW,,ZAF,other,commissioned,country,,,,Kusile Power Station 4800MW by Mitsubishi Hitachi,,2026-09-11,2026-09-11
wba_prj_01HREAL133,Cairo Light Rail Transit 70km,,EGY,public_transport,commissioned,country,,,,Cairo Light Rail Transit 70km by CREC,,2026-09-11,2026-09-11
wba_prj_01HREAL134,Cairo Monorail 99km,,EGY,public_transport,commissioned,country,,,,Cairo Monorail 99km by Bombardier/Orascom,,2026-09-11,2026-09-11
wba_prj_01HREAL135,Al Boraq Tangier-Kenitra HSR 323km,,MAR,railways,commissioned,country,,,,Al Boraq Tangier-Kenitra HSR 323km by Alstom,,2026-09-11,2026-09-11
wba_prj_01HREAL136,Kano-Maradi Railway 384km,,NGA,railways,construction_started,country,,,,"Kano-Maradi 284km plus 94km branch by Mota-Engil Portugal, 1.82bn USD contract Jan 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL137,Port of Cotonou Extension,,BEN,ports,commissioned,country,,,,Port of Cotonou Extension by Eiffage Genie Civil Marine,,2026-09-11,2026-09-11
wba_prj_01HREAL138,Tanzania SGR Phase 1 Dar-Morogoro 205km,,TZA,railways,commissioned,country,,,,Tanzania SGR Phase 1 Dar-Morogoro 205km by Yapi Merkezi,,2026-09-11,2026-09-11
wba_prj_01HREAL139,Nador West Med Port,,MAR,ports,commissioned,country,,,,Nador West Med Port by STFA/SGTM/Jan De Nul,,2026-09-11,2026-09-11
wba_prj_01HREAL140,Singrobo-Ahouaty 44MW,,CIV,hydropower,commissioned,country,,,,Singrobo-Ahouaty 44MW by Eiffage Genie Civil,,2026-09-11,2026-09-11
wba_prj_01HREAL141,Azura-Edo IPP 459MW,,NGA,other,commissioned,country,,,,Azura-Edo IPP 459MW by Siemens/Julius Berger,,2026-09-11,2026-09-11
wba_prj_01HREAL142,Berbera Port Expansion 400m,,SOM,ports,commissioned,country,,,,Berbera Port Expansion 400m by DP World,,2026-09-11,2026-09-11
wba_prj_01HREAL143,Itezhi-Tezhi 120MW,,ZMB,hydropower,commissioned,country,,,,Itezhi-Tezhi 120MW by Sinohydro,,2026-09-11,2026-09-11
wba_prj_01HREAL144,Ashegoda Wind Farm 120MW,,ETH,wind_power,commissioned,country,,,,Ashegoda Wind Farm 120MW by Vergnet,,2026-09-11,2026-09-11
wba_prj_01HREAL145,Safi Independent Power Plant 1386MW,,MAR,other,commissioned,country,,,,Safi Independent Power Plant 1386MW by Daewoo,,2026-09-11,2026-09-11
wba_prj_01HREAL146,Kpone IPP 350MW,,GHA,other,commissioned,country,,,,Kpone IPP 350MW by Group Five,,2026-09-11,2026-09-11
wba_prj_01HREAL147,Bujagali Hydropower 250MW,,UGA,hydropower,commissioned,country,,,,Bujagali Hydropower 250MW by WeBuild,,2026-09-11,2026-09-11
wba_prj_01HREAL148,Rabat-Sale Tramway 19.5km,,MAR,public_transport,commissioned,country,,,,Rabat-Sale Tramway 19.5km by Alstom,,2026-09-11,2026-09-11
wba_prj_01HREAL149,Karimenu II Dam Water Supply,,KEN,dams,commissioned,country,,,,Karimenu II Dam Water Supply by AVIC International,,2026-09-11,2026-09-11
wba_prj_01HREAL150,Taiba N'Diaye Wind Farm 158.7MW,,SEN,wind_power,commissioned,country,,,,Taiba N'Diaye Wind Farm 158.7MW by Vestas,,2026-09-11,2026-09-11
wba_prj_01HREAL151,Kampala-Malaba Standard Gauge Railway Eastern Route,Uganda SGR Malaba-Kampala,UGA,railways,signed,corridor,,,"LINESTRING(32.58 0.31, 34.00 0.64)","272 km Kampala-Malaba SGR by Yapi Merkezi Turkey, 2.7bn euro contract signed Oct 2024",,2026-09-14,2026-09-14
wba_prj_01HREAL152,Iganga-Bulopa-Kamuli Road 56km,Iganga Kamuli Road,UGA,roads,signed,corridor,,,"LINESTRING(33.48 0.61, 33.12 1.00)","56 km Iganga-Bulopa-Kamuli road by Arab Contractors Egypt, 70m USD contract Oct 2024",,2026-09-14,2026-09-14
wba_prj_01HREAL153,Lusalira-Kasambya-Nkonge-Sembabule Road 97km,Lusalira Sembabule Road,UGA,roads,signed,corridor,,,"LINESTRING(31.50 0.20, 31.30 0.10)","97 km Lusalira-Sembabule road by Tecnovia Portugal, 126m euro financing Nov 2024",,2026-09-14,2026-09-14
