id,canonical_name,aliases,country_iso3,sectors,status,location_precision,lat,lon,geom_wkt,summary,notes,created_at,updated_at
wba_prj_01HREAL012,Kenya Advanced Institute of Science and Technology at Konza,Kenya-KAIST,KEN,schools|universities|telecommunications,proposed,approximate,-1.057,37.095,,"Kenya-KAIST at Konza Technopolis, Korea Eximbank EDCF $94.7m loan, KAIST consortium design, 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL013,Lamu Port First Three Berths,Lamu Port Berths 1-3,KEN,ports,commissioned,exact,-2.416,40.910,POINT(40.910 -2.416),"Lamu Port first 3 berths by CCCC/CRBC $484m, Phase 1 of LAPSSET, Berth 1 commissioned 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL014,Hawassa Industrial Park,Hawassa Park,ETH,industrial_parks|manufacturing,commissioned,exact,7.060,38.476,POINT(38.476 7.060),"Hawassa Industrial Park 1.38m sqm by CCECC $246m, 9 months build, inaugurated 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL015,Kazungula Bridge,Kazungula Bridge,BWA,bridges,commissioned,exact,-17.775,25.262,POINT(25.262 -17.775),"Kazungula 923m extradosed road/rail bridge by Daewoo E&C $161m, Botswana/Zambia cross-border, 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL016,Beitbridge Border Post Modernisation,Beitbridge Border,ZWE,other,commissioned,exact,-22.217,29.987,POINT(29.987 -22.217),"Beitbridge border post $300m modernisation by Raubex/Zimborders, 17yr BOT, commissioned Dec 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL017,TelOne National Broadband Telecommunication Project,TelOne NBB,ZWE,telecommunications|digital_infrastructure,commissioned,approximate,-17.829,31.053,,"TelOne broadband and 2 data centres by Huawei, $98.6m China Exim PBC, 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL018,Thwake Multipurpose Water Development Program,Thwake Dam,KEN,dams|water_supply|hydropower,construction_started,exact,-1.789,37.738,POINT(37.738 -1.789),"Thwake Dam 80.5m 534M m3 by CGGC, AfDB $370m Phase 1, signed 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL019,Mombasa Port Second Container Terminal,Mombasa Berths 20-21,KEN,ports,commissioned,exact,-4.054,39.636,POINT(39.636 -4.054),"Mombasa Port second terminal by Toyo Construction, JICA Sh32bn loan, 2016/2022",,2026-09-11,2026-09-11
wba_prj_01HREAL020,Adama Wind Power Project I & II,Adama Wind,ETH,wind_power,commissioned,exact,8.458,39.250,POINT(39.250 8.458),"Adama 204 MW wind by CGCOC/HydroChina, 136 turbines Goldwind, China Exim $392m, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL021,Addis Ababa Bole International Airport Expansion,Bole Airport Expansion,ETH,airports,commissioned,exact,8.978,38.797,POINT(38.797 8.978),"Bole Airport expansion by CCCC, capacity 7m to 22m, financed China Exim, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL022,Kafue Gorge Lower Hydropower Station,Kafue Gorge Lower,ZMB,hydropower|dams,commissioned,exact,-15.803,28.424,POINT(28.424 -15.803),"Kafue Gorge Lower 750 MW 5x150MW by Sinohydro, $2bn, 85% Exim+ICBC, 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL023,Julius Nyerere Hydropower Plant and Dam,Nyerere Dam,TZA,hydropower|dams,commissioned,exact,-7.809,37.861,POINT(37.861 -7.809),"Nyerere 2115 MW 9x235MW by Arab Contractors/Elsewedy, $2.9bn, 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL024,Maputo-Katembe Bridge,Maputo Bay Bridge,MOZ,bridges,commissioned,exact,-25.973,32.572,POINT(32.572 -25.973),"Maputo-Katembe 3,041m suspension by CRBC, $785m 85% Exim loan, opened 2018-11-10",,2026-09-11,2026-09-11
wba_prj_01HREAL025,New Bugesera International Airport,Bugesera Airport,RWA,airports,construction_started,exact,-2.130,30.181,POINT(30.181 -2.130),"Bugesera Airport $818m PPP by Mota-Engil 75%, 25yr DBFOM, construction started",,2026-09-11,2026-09-11
wba_prj_01HREAL026,Dakar Regional Express Train,Dakar TER,SEN,railways|public_transport,commissioned,corridor,,,"LINESTRING(-17.45 14.69, -17.07 14.78)","Dakar TER 55km electrified double track by Eiffage/Yapi Merkezi/CSE, ERTMS, 2016-2021",,2026-09-11,2026-09-11
wba_prj_01HREAL027,Bui Hydropower Dam,Bui Dam,GHA,hydropower|dams,commissioned,exact,8.278,-2.121,POINT(-2.121 8.278),"Bui 400MW 3x133MW by Sinohydro, $790m, 60yr, commissioned 2013",,2026-09-11,2026-09-11
wba_prj_01HREAL028,Lauca Hydroelectric Power Station,Lauca Dam,AGO,hydropower|dams,commissioned,exact,-9.743,15.121,POINT(15.121 -9.743),"Lauca 2070MW 6x338MW by Odebrecht/OEC, $4.3bn, ANDRITZ turbines, 2017-2023",,2026-09-11,2026-09-11
wba_prj_01HREAL029,Kampala-Entebbe Expressway,Kampala-Entebbe Road,UGA,roads,commissioned,corridor,,,"LINESTRING(32.56 0.32, 32.47 0.06)","Kampala-Entebbe 51.4km 4-lane toll by CCCC, $476m 2/3 Exim $350m, 2018",,2026-09-11,2026-09-11
wba_prj_01HREAL030,National Fibre Backbone Project Phase I-II,Malawi Fibre Backbone,MWI,telecommunications|digital_infrastructure,commissioned,exact,-13.962,33.787,POINT(33.787 -13.962),"Malawi 4000km fibre by Huawei, $121.8m China Exim, completed 2018",,2026-09-11,2026-09-11
