id,canonical_name,org_type,notes
wba_org_01HREAL078,Bollore Africa Logistics,private,"France, shareholder Tema"
wba_org_01HREAL079,APM Terminals,private,"Denmark/Netherlands, shareholder Tema"
wba_org_01HREAL080,ICBC,private,"China, financier Caculo Cabaca"
wba_org_01HREAL081,ACWA Power,private,"Saudi Arabia, developer Noor Ouarzazate"
wba_org_01HREAL082,Moroccan Agency for Sustainable Energy,state_agency,"MASEN, owner Noor"
wba_org_01HREAL083,Namibian Ports Authority,state_agency,"Namport, owner Walvis Bay"
wba_org_01HREAL084,Kribi Port Authority,state_agency,"Cameroon, owner Kribi Port"
wba_org_01HREAL085,Bombela Consortium,private,"South Africa, EPC Gautrain"
wba_org_01HREAL086,Bouygues Travaux Publics,private,"France, contractor Gautrain"
wba_org_01HREAL087,Sicomines,private,"DRC, mining JV Busanga"
wba_org_01HREAL088,China State Construction Engineering Corporation,soe,"CSCEC, contractor New Capital CBD"
wba_org_01HREAL089,Administrative Capital for Urban Development,state_agency,"Egypt, owner New Capital"
wba_org_01HREAL090,Limak Holding,private,"Turkey, contractor AIBD"
wba_org_01HREAL091,Summa Construction,private,"Turkey, contractor AIBD/BK Arena"
wba_org_01HREAL092,Dakar Airport Authority,state_agency,"Senegal, owner AIBD"
wba_org_01HREAL093,Rwanda Housing Authority,state_agency,"Rwanda, owner BK Arena"
wba_org_01HREAL094,Uganda Ministry of Energy,state_agency,"Uganda, owner Karuma"
wba_org_01HREAL096,Societe Nationale d Electricite du Burkina Faso,state_agency,"SONABEL, owner Zagtouli"
wba_org_01HREAL097,Agence Francaise de Developpement,dev_bank,"AFD, financier Zagtouli"
wba_org_01HREAL098,Cegelec,private,"France, EPC Zagtouli"
wba_org_01HREAL099,Tyazhpromexport,state_agency,"Soviet Union, contractor Ajaokuta"
wba_org_01HREAL250,CMC di Ravenna,private,"Italy, contractor Jiji"
wba_org_01HREAL100,Ajaokuta Steel Company Limited,state_agency,"Nigeria, owner Ajaokuta"
wba_org_01HREAL251,Orascom Construction,private,"Egypt, contractor Jiji"
wba_org_01HREAL101,TAZARA Authority,state_agency,Tanzania-Zambia Railway Authority
wba_org_01HREAL252,Vinci Airports,private,"France, concessionaire Cabo Verde"
wba_org_01HREAL102,Ministry of Railways China,state_agency,"China, financier TAZARA"
wba_org_01HREAL253,Teixeira Duarte,private,"Portugal, contractor Cabo Verde"
wba_org_01HREAL103,Impregilo,private,"Italy, contractor Akosombo"
wba_org_01HREAL254,China Gezhouba Group Company,soe,"CGGC China, contractor Boali"
wba_org_01HREAL104,Volta River Authority,state_agency,"Ghana, owner Akosombo"
wba_org_01HREAL255,HNAC Technology,private,"China, contractor Boali II"
wba_org_01HREAL105,Hidrolectrica de Cahora Bassa,private,"Mozambique, owner Cahora Bassa"
wba_org_01HREAL256,Elsewedy Electric T&D,private,"Egypt, contractor Djermaya"
wba_org_01HREAL106,Sorefame,private,"Portugal, builder Cahora Bassa"
wba_org_01HREAL257,Djermaya CDEN Energy,private,"Chad, developer Djermaya"
wba_org_01HREAL107,Hydroproject Institute,state_agency,"Soviet Union, designer Aswan High Dam"
wba_org_01HREAL258,China Jiangsu International,soe,"China Jiangsu, contractor Bambao"
wba_org_01HREAL108,Egyptian Ministry of Water Resources,state_agency,"Egypt, owner Aswan"
wba_org_01HREAL259,China Shenyang International,soe,"China, contractor El-Maarouf"
wba_org_01HREAL110,Great Man-Made River Authority,state_agency,"Libya, owner GMR"
wba_org_01HREAL260,Arab Contractors,private,"Egypt, contractor Nguema-Sipopo"
wba_org_01HREAL111,China International Water and Electric Corporation,soe,"CWE, contractor Merowe"
wba_org_01HREAL261,SFECO Group,soe,"China Shanghai SFECO, contractor Hirgigo"
wba_org_01HREAL112,Lahmeyer International,private,"Germany, consultant Merowe"
wba_org_01HREAL262,Maguga Dam Joint Venture,private,"South Africa, contractor Maguga"
wba_org_01HREAL113,Ministry of Electricity Sudan,state_agency,"Sudan, owner Merowe"
wba_org_01HREAL263,Trans-Gabon Railway Concession,private,"Gabon, SETRAG Eramet/Meridiam"
wba_org_01HREAL114,CITIC Group,soe,"China, contractor Kilamba Kiaxi"
wba_org_01HREAL264,Isolux Corsan,private,"Spain, contractor Senegambia Bridge"
wba_org_01HREAL115,Government of Angola,state_agency,"Angola, owner Kilamba"
wba_org_01HREAL265,Longjian Road and Bridge,soe,"China, contractor Bissau-Safim"
wba_org_01HREAL116,Kandadji Dam Authority,state_agency,"Niger, owner Kandadji"
wba_org_01HREAL266,Lesotho Highlands Development Authority,state_agency,"Lesotho, owner Katse"
wba_org_01HREAL117,Zarubezhvodstroy,private,"Russia, former contractor Kandadji"
wba_org_01HREAL267,Highlands Water Venture,private,"Lesotho Highlands JV, contractor Katse"
wba_org_01HREAL118,China Merchants Holdings International,private,"China, concessionaire Bagamoyo"
wba_org_01HREAL268,Dawnus International,private,"UK, contractor Mount Coffee"
wba_org_01HREAL119,Oman State General Reserve Fund,private,"Oman, co-investor Bagamoyo"
wba_org_01HREAL269,VOITH Hydro,private,"Germany, supplier Mount Coffee"
wba_org_01HREAL120,Tanzania Ports Authority,state_agency,"Tanzania, owner Bagamoyo"
wba_org_01HREAL270,Eranove,private,"France, developer Sahofika"
wba_org_01HREAL121,TotalEnergies,private,"France, operator EACOP"
wba_org_01HREAL271,Eiffage,private,"France, contractor Sahofika"
wba_org_01HREAL122,China National Offshore Oil Corporation,soe,"CNOOC, partner EACOP"
wba_org_01HREAL272,Sinohydro Bureau 15,soe,"China, contractor Gouina"
wba_org_01HREAL124,Lobito Atlantic Railway Consortium,private,"Trafigura/Mota-Engil/Vecturis, concessionaire Lobito Corridor"
wba_org_01HREAL273,Larsen & Toubro,private,"India, contractor Metro Express"
wba_org_01HREAL125,Alstom,private,"France, supplier Ajaokuta? No, for Dakar/Alstom TER, also for Abidjan? Use for Abidjan"
wba_org_01HREAL274,FB Group,private,"Turkey, concessionaire Sao Tome Airport"
wba_org_01HREAL127,Abidjan Metro Authority,state_agency,"Ivory Coast, owner Abidjan Metro"
wba_org_01HREAL275,ENEZ Insaat,private,"Turkey, contractor Mogadishu roads"
wba_org_01HREAL128,KSP Jurgen Engel Architekten,private,"Germany, designer Djamaa El Djazair"
wba_org_01HREAL276,Louis Berger Group,private,"USA, contractor Juba-Nimule"
wba_org_01HREAL129,Societe Nationale des Autoroutes d Algerie,state_agency,"Algeria, owner East-West Highway"
wba_org_01HREAL277,China Merchants Port Holdings,private,"China, concessionaire Lome Terminal"
wba_org_01HREAL130,CITIC-CRCC Joint Venture,private,"China, contractor East-West Highway"
wba_org_01HREAL278,Bollore SE2M-TOGO,private,"France, construction Lome"
wba_org_01HREAL131,Cojaal JV,private,"Japan, contractor East-West Highway central lot"
wba_org_01HREAL279,Porto Ingles JV,private,"Portugal/Cape Verde, contractor Maio"
wba_org_01HREAL132,TAV Airports Holding,private,"Turkey, developer Enfidha Airport"
wba_org_01HREAL133,Enfidha Airport Authority,state_agency,"Tunisia, owner Enfidha"
wba_org_01HREAL134,DP World,private,"UAE, concessionaire Doraleh"
wba_org_01HREAL135,Djibouti Ports Authority,state_agency,"Djibouti, owner Doraleh"
wba_org_01HREAL136,China National Electric Equipment Corporation,soe,"CNEEC, contractor Morupule B"
wba_org_01HREAL137,Botswana Power Corporation,state_agency,"Botswana, owner Morupule B"
wba_org_01HREAL138,Africa Centres for Disease Control and Prevention,state_agency,"Africa CDC, owner Africa CDC HQ"
wba_org_01HREAL139,Winning Consortium Simandou,private,"Guinea, co-developer Simandou"
wba_org_01HREAL140,Rio Tinto Simfer,private,"UK/Australia, co-developer Simandou"
wba_org_01HREAL141,Abuja Rail Mass Transit Authority,state_agency,"Nigeria, owner Abuja Light Rail"
wba_org_01HREAL142,Niger-Benin Pipeline Company,private,"Niger/Benin, EACOP-like WAPCo"
wba_org_01HREAL143,China National Petroleum Corporation,soe,"CNPC, developer Niger-Benin pipeline"
wba_org_01HREAL144,Alcatel Submarine Networks,private,"France, builder 2Africa cable"
wba_org_01HREAL145,2Africa Consortium,private,Meta/Vodafone/Orange/STC etc.
wba_org_01HREAL146,Salini Impregilo,private,"Italy, contractor Bumbuna"
wba_org_01HREAL147,Sierra Leone Ministry of Energy,state_agency,"Sierra Leone, owner Bumbuna"
wba_org_01HREAL126,Jan De Nul,private,"Belgium, dredging Port Victoria"
wba_org_01HREAL148,SGTM - Societe Generale des Travaux du Maroc,private,"Morocco, contractor Dakhla Port"
wba_org_01HREAL149,Dakhla Atlantic Port Authority,state_agency,"Morocco/Western Sahara, owner Dakhla Port"
wba_org_01HREAL150,Rosatom,private,Contractor El Dabaa Nuclear Power Plant
wba_org_01HREAL151,Siemens Mobility,private,Contractor Egypt High-Speed Rail 2000km
wba_org_01HREAL152,China Harbour Engineering Company,private,Contractor Lekki Deep Sea Port
wba_org_01HREAL153,Sinohydro,private,Contractor Zungeru Hydropower 700MW
wba_org_01HREAL154,EDF,private,Contractor Nachtigal Hydropower 420MW
wba_org_01HREAL155,WeBuild,private,Contractor Koysha Hydropower 2200MW
wba_org_01HREAL156,Julius Berger,private,Contractor Second River Niger Bridge
wba_org_01HREAL157,AVIC International,private,Contractor Antonio Agostinho Neto Airport Luanda
wba_org_01HREAL159,CWE,private,Contractor Isimba Hydropower 183MW
wba_org_01HREAL160,CCECC,private,Contractor Lagos Blue Line 27km
wba_org_01HREAL161,VINCI,private,Contractor Algiers Metro Line 1
wba_org_01HREAL164,Scatec,private,Contractor Benban Solar Park 390MW
wba_org_01HREAL165,Bouygues Construction,private,Contractor Tanger Med Port Complex
wba_org_01HREAL167,Mapa Construction,private,Contractor Kotoka Airport Terminal 3
wba_org_01HREAL168,Hitachi Power Europe,private,Contractor Medupi Power Station 4800MW
wba_org_01HREAL173,BAM International,private,Contractor Julius Nyerere Airport Terminal 3
wba_org_01HREAL174,Sinohydro Bureau 16,private,Contractor Kinguele Aval Hydropower 35MW
wba_org_01HREAL200,Strabag International,private,Contractor Dar es Salaam BRT Phase 1
wba_org_01HREAL201,Summa Insaat,private,Contractor Diamniadio Olympic Stadium 50000
wba_org_01HREAL202,China Jiangxi,private,Contractor Lusaka-Ndola Dual Carriageway 321km
wba_org_01HREAL203,Mitsubishi Hitachi,private,Contractor Kusile Power Station 4800MW
wba_org_01HREAL204,CREC,private,Contractor Cairo Light Rail Transit 70km
wba_org_01HREAL205,Bombardier/Orascom,private,Contractor Cairo Monorail 99km
wba_org_01HREAL206,Mota-Engil,private,Contractor Kano-Maradi Railway 384km
wba_org_01HREAL207,Eiffage Genie Civil Marine,private,Contractor Port of Cotonou Extension
wba_org_01HREAL208,STFA/SGTM/Jan De Nul,private,Contractor Nador West Med Port
wba_org_01HREAL209,Siemens/Julius Berger,private,Contractor Azura-Edo IPP 459MW
wba_org_01HREAL210,Vergnet,private,Contractor Ashegoda Wind Farm 120MW
wba_org_01HREAL211,Daewoo,private,Contractor Safi Independent Power Plant 1386MW
wba_org_01HREAL212,Group Five,private,Contractor Kpone IPP 350MW
wba_org_01HREAL213,Vestas,private,Contractor Taiba N'Diaye Wind Farm 158.7MW
wba_org_01HREAL214,GE Renewable Energy,private,Contractor Kipeto Wind Farm 100MW
wba_org_01HREAL215,China National Electric Engineering Co,private,Contractor Reppie Waste-to-Energy Plant 25MW
wba_org_01HREAL216,TechnipFMC,private,Contractor Coral South FLNG 3.4mtpa
wba_org_01HREAL217,China Gezhouba Group,private,Contractor Mambilla Hydropower 3050MW
wba_org_01HREAL218,CMC di Ravenna + Impregilo JV,private,Contractor Ingula Pumped Storage Scheme 1332MW
wba_org_01HREAL219,Chevron,private,Contractor Angola LNG Plant Soyo 5.2mtpa
wba_org_01HREAL220,Honeywell UOP,private,Contractor Dangote Petroleum Refinery 650kbd
wba_org_01HREAL221,China Aerospace Construction Group,private,Contractor Konza Technopolis 400kV Isinya-Konza TL
wba_org_01HREAL222,ContourGlobal,private,Contractor KivuWatt Methane Power Plant 26MW
wba_org_01HREAL223,BHEL + Sinohydro,private,Contractor Nyabarongo I Hydropower 28MW
wba_org_01HREAL224,Nava Bharat Ventures,private,Contractor Maamba Coal Power Plant 300MW
wba_org_01HREAL225,BP,private,Contractor Greater Tortue Ahmeyim GTA LNG FPSO
wba_org_01HREAL226,Metito,private,Contractor Kigali Bulk Water Supply 40000m3/day
wba_org_01HREAL227,TAQA Morocco,private,Contractor Jorf Lasfar Power Extension Units 5-6 700MW
wba_org_01HREAL228,Siemens Gamesa,private,Contractor Tarfaya Wind Farm 301MW
wba_org_01HREAL229,China Nonferrous Mining Corp,private,Contractor Chambishi Multi-Facility Economic Zone
wba_org_01HREAL230,China Jiangxi International,private,Contractor Garissa Solar Power Plant 55MW
wba_org_01HREAL231,Rendeavour,private,Contractor Tatu City SEZ 5000-acre
wba_org_01HREAL232,Sinohydro + Advance JV,private,Contractor Polihali Dam LHWP Phase II 165m
wba_org_01HREAL233,Sogea-Satom,private,Contractor Aftout Essahli Water Supply Expansion Nouakchott
wba_org_01HREAL234,Globeleq,private,Contractor Kribi Gas-Fired Power Plant 216MW
wba_org_01HREAL235,Colas Rail/Vinci,private,Contractor Cairo Metro Line 3 Phase 3 17.7km
wba_org_01HREAL236,Masdar,private,Contractor Romainville Solar PV 5MW
wba_org_01HREAL237,Karpowership,private,Contractor Karpowership Freetown 65MW
wba_org_01HREAL238,Siemens Gamesa/CGCOC,private,Contractor Aysha Wind Farm 120MW
wba_org_01HREAL239,Kvaerner Construction,private,Contractor Toshka Mubarak Pumping Station 21-pump
wba_org_01HREAL240,Sinopec,private,Contractor Atuabo Gas Processing Plant 150mmscfd
wba_org_01HREAL241,Saipem/Chiyoda/Daewoo JV,private,Contractor NLNG Train 7 Bonny Island 8mtpa
wba_org_01HREAL242,Mitsubishi Hitachi Power Systems,private,Contractor Rades Combined Cycle 471MW
wba_org_01HREAL243,Gemcorp Capital,private,Contractor Cabinda Refinery 60kbpd Phase I
wba_org_01HREAL244,MAN Energy Solutions,private,Contractor Tobene IPP 96MW
wba_org_01HREAL245,GE Vernova,private,Contractor Azito Thermal Power Plant Phase IV 253MW
wba_org_01HREAL246,TBEA Co Ltd,private,Contractor Amaria Hydropower Dam 300MW
wba_org_01HREAL247,Duglas Alliance Ltd,private,Contractor Sendje Hydropower Plant 200MW
wba_org_01HREAL248,Windlab,private,Contractor Singida Wind Farm 100MW Phase I
wba_org_01HREAL249,Mota-Engil/Andritz,private,Contractor Malagarasi Hydropower 32.5MW
wba_org_01HREAL280,Tecnovia Group,private,"Portugal, contractor Lusalira road Uganda"
wba_org_01HREAL281,Uganda Ministry of Works and Transport,state_agency,"Uganda, contracting authority SGR"
wba_org_01HREAL282,Uganda Ministry of Finance Planning and Economic Development,state_agency,"Uganda, contracting authority roads"
wba_org_01HREAL283,Senegal Agency for Works and Road Management,state_agency,"Senegal, contracting authority AGEROUTE Dakar-Saint Louis"
wba_org_01HREAL284,Kenya National Irrigation Authority,state_agency,"Kenya, contracting authority Galana Kulalu"
wba_org_01HREAL285,Kenya National Water Harvesting and Storage Authority,state_agency,"Kenya, contracting authority Umaa Dam"
wba_org_01HREAL286,Nigeria Ministry of Transport,state_agency,"Nigeria, contracting authority Kano-Maradi"
wba_org_01HREAL287,Kenya National Social Security Fund,state_agency,"Kenya NSSF, consortium partner Rironi-Mau"
wba_org_01HREAL288,China First Highway Engineering Company,private,"China, contractor Bujumbura-Gitaza Burundi"
wba_org_01HREAL289,Burundi Transport Resilience Project,state_agency,"Burundi, contracting authority PIU"
wba_org_01HREAL290,China Railway Engineering Group and China Railway Design,consortium,"China, contractor Uvinza-Musongati SGR"
wba_org_01HREAL292,Toyota Tsusho Corporation,private,"Japan, contractor Santiago desalination Cape Verde"
wba_org_01HREAL293,Cape Verde National Water and Sanitation Agency,state_agency,"Cape Verde ANAS, contracting authority Santiago"
wba_org_01HREAL294,ENAPOR Cape Verde Port Authority,state_agency,"Cape Verde, contracting authority vessel"
wba_org_01HREAL295,Shenzhen Churui New Energy Technology and Taizhou Changlong Shipbuilding Consortium,consortium,"China, contractor ENAPOR vessel"
wba_org_01HREAL296,Cabo Verde Airports,state_agency,"Cape Verde, contracting authority airports Vinci"
wba_org_01HREAL297,Teixeira Duarte Engenharia e Construcoes,private,"Portugal, contractor Cape Verde airports"
wba_org_01HREAL298,Government of Eritrea Ministry of Public Works,state_agency,"Eritrea, contracting authority Habela road"
wba_org_01HREAL299,China SFECO Group,private,"China, contractor Habela road Eritrea"
wba_org_01HREAL300,SUN Joint Venture,jv,Polihali Dam contractor JV Sinohydro Bureau 8 and 14 China plus Unik South Africa plus Nthane Lesotho
wba_org_01HREAL301,Organisation pour la mise en valeur du fleuve Senegal,state_agency,OMVS Senegal River Basin Authority contracting authority Gouina
wba_org_01HREAL302,Liberia Electricity Corporation,state_agency,Liberia contracting authority Mount Coffee operator
wba_org_01HREAL303,Government of Tunisia Ministry of Transport,state_agency,Tunisia contracting authority Enfidha airport
wba_org_01HREAL304,Tchad Oil Transportation Company,consortium,Chad TOTCO pipeline owner joint venture consortium ExxonMobil Petronas Chevron plus Chad
wba_org_01HREAL305,Fluor Corporation,private,USA contractor Chad-Cameroon pipeline integrated management team
