project_id,admin1,admin2,city,locality,precision,lat,lon
wba_prj_01HREAL032,Harare,Harare,Harare,NetOne HQ,approximate,-17.825,31.033
wba_prj_01HREAL033,Nakuru,Naivasha,Olkaria,Olkaria Geothermal field,exact,-0.892,36.287
wba_prj_01HREAL034,Nairobi,Nairobi,Nairobi,Outer Ring corridor,corridor,,
wba_prj_01HREAL036,Lusaka,Lusaka,Lusaka,KKIA,exact,-15.325,28.449
wba_prj_01HREAL037,Tabora,Tabora,Tabora,Tanzania SGR corridor,corridor,,
wba_prj_01HREAL038,Nampula,Nacala,Nacala,Nacala Corridor,corridor,,
wba_prj_01HREAL039,Greater Accra,Tema,Tema,Tema Port T3,exact,5.618,-0.018
wba_prj_01HREAL040,Cuanza Norte,Cazengo,Cacuso,Caculo Cabaca site,exact,-9.312,16.016
wba_prj_01HREAL041,Drâa-Tafilalet,Ouarzazate,Ouarzazate,Noor Complex,exact,31.048,-6.869
wba_prj_01HREAL042,Erongo,Walvis Bay,Walvis Bay,Walvis Bay Terminal,exact,-22.959,14.481
wba_prj_01HREAL043,South,Ocean,Kribi,Kribi Port,exact,2.945,9.909
wba_prj_01HREAL044,Gauteng,Johannesburg,Johannesburg,Gautrain corridor,corridor,,
wba_prj_01HREAL045,Lualaba,Kolwezi,Busanga,Busanga site,exact,-10.917,26.909
wba_prj_01HREAL046,Cairo,New Capital,New Capital,New Capital CBD,exact,30.020,31.667
wba_prj_01HREAL047,Thiès,Mbour,Diass,AIBD Dakar,exact,14.670,-17.073
wba_prj_01HREAL048,Kigali,Gasabo,Kigali,BK Arena,exact,-1.953,30.091
wba_prj_01HREAL049,Kiryaandongo,Bweyale,Karuma,Karuma site,exact,2.235,32.233
wba_prj_01HREAL050,Centre,Ouagadougou,Zagtouli,Zagtouli Solar,exact,12.382,-1.477
wba_prj_01HREAL053,Eastern,Yilo Krobo,Akosombo,Akosombo Dam,exact,6.295,0.058
wba_prj_01HREAL055,Aswan,Aswan,Aswan,Aswan High Dam,exact,23.973,32.881
wba_prj_01HREAL056,Jufra,Houn,Houn,GMR Phases,corridor,,
wba_prj_01HREAL061,Pwani,Bagamoyo,Bagamoyo,Bagamoyo Port,approximate,-6.478,38.901
wba_prj_01HREAL062,Hoima,Kikuube,Hoima,EACOP Hoima,corridor,,
wba_prj_01HREAL065,Algiers,Algiers,Algiers,Djamaa El Djazair,exact,36.739,3.031
wba_prj_01HREAL068,Djibouti,Djibouti,Djibouti,Doraleh Port,exact,11.600,43.150
wba_prj_01HREAL069,Central,Palapye,Palapye,Morupule B,exact,-22.514,27.030
wba_prj_01HREAL078,Ombella-Mpoko,Boali,Boali,Boali Complex,exact,4.800,18.100
wba_prj_01HREAL080,Grande Comore,Bambao,Moroni,Bambao Hospital,exact,-11.750,43.400
wba_prj_01HREAL081,Kouilou,Pointe-Noire,Pointe-Noire,RN1 corridor,corridor,,
wba_prj_01HREAL086,North Bank,Kerewan,Farafenni,Senegambia Bridge,exact,13.534,-15.928
wba_prj_01HREAL087,Biombo,Safim,Safim,Bissau-Safim Highway,exact,11.865,-15.583
wba_prj_01HREAL090,Analamanga,Antananarivo,Sahofika,Sahofika site,exact,-19.250,47.850
wba_prj_01HREAL093,Plaines Wilhems,Curepipe,Curepipe,Metro Express corridor,corridor,,
wba_prj_01HREAL094,Agua Grande,Sao Tome,Sao Tome,Sao Tome Airport,exact,0.380,6.712
wba_prj_01HREAL101,EGY,,EGY,Location for wba_prj_01HREAL101,country,,
wba_prj_01HREAL102,EGY,,EGY,Location for wba_prj_01HREAL102,country,,
wba_prj_01HREAL103,NGA,,NGA,Location for wba_prj_01HREAL103,country,,
wba_prj_01HREAL104,NGA,,NGA,Location for wba_prj_01HREAL104,country,,
wba_prj_01HREAL105,CMR,,CMR,Location for wba_prj_01HREAL105,country,,
wba_prj_01HREAL106,ETH,,ETH,Location for wba_prj_01HREAL106,country,,
wba_prj_01HREAL107,NGA,,NGA,Location for wba_prj_01HREAL107,country,,
wba_prj_01HREAL108,AGO,,AGO,Location for wba_prj_01HREAL108,country,,
wba_prj_01HREAL109,CIV,,CIV,Location for wba_prj_01HREAL109,country,,
wba_prj_01HREAL110,UGA,,UGA,Location for wba_prj_01HREAL110,country,,
wba_prj_01HREAL111,NGA,,NGA,Location for wba_prj_01HREAL111,country,,
wba_prj_01HREAL112,DZA,,DZA,Location for wba_prj_01HREAL112,country,,
wba_prj_01HREAL113,CMR,,CMR,Location for wba_prj_01HREAL113,country,,
wba_prj_01HREAL114,NGA,,NGA,Location for wba_prj_01HREAL114,country,,
wba_prj_01HREAL115,EGY,,EGY,Location for wba_prj_01HREAL115,country,,
wba_prj_01HREAL116,MAR,,MAR,Location for wba_prj_01HREAL116,country,,
wba_prj_01HREAL117,MAR,,MAR,Location for wba_prj_01HREAL117,country,,
wba_prj_01HREAL118,GHA,,GHA,Location for wba_prj_01HREAL118,country,,
wba_prj_01HREAL119,ZAF,,ZAF,Location for wba_prj_01HREAL119,country,,
wba_prj_01HREAL120,ETH,,ETH,Location for wba_prj_01HREAL120,country,,
wba_prj_01HREAL121,GIN,,GIN,Location for wba_prj_01HREAL121,country,,
wba_prj_01HREAL122,GIN,,GIN,Location for wba_prj_01HREAL122,country,,
wba_prj_01HREAL123,RWA,,RWA,Location for wba_prj_01HREAL123,country,,
wba_prj_01HREAL124,TZA,,TZA,Location for wba_prj_01HREAL124,country,,
wba_prj_01HREAL125,GAB,,GAB,Location for wba_prj_01HREAL125,country,,
wba_prj_01HREAL126,TZA,,TZA,Location for wba_prj_01HREAL126,country,,
wba_prj_01HREAL127,NGA,,NGA,Location for wba_prj_01HREAL127,country,,
wba_prj_01HREAL128,KEN,,KEN,Location for wba_prj_01HREAL128,country,,
wba_prj_01HREAL129,SEN,,SEN,Location for wba_prj_01HREAL129,country,,
wba_prj_01HREAL130,SEN,,SEN,Location for wba_prj_01HREAL130,country,,
wba_prj_01HREAL131,ZMB,,ZMB,Location for wba_prj_01HREAL131,country,,
wba_prj_01HREAL132,ZAF,,ZAF,Location for wba_prj_01HREAL132,country,,
wba_prj_01HREAL133,EGY,,EGY,Location for wba_prj_01HREAL133,country,,
wba_prj_01HREAL134,EGY,,EGY,Location for wba_prj_01HREAL134,country,,
wba_prj_01HREAL135,MAR,,MAR,Location for wba_prj_01HREAL135,country,,
wba_prj_01HREAL136,NGA,,NGA,Location for wba_prj_01HREAL136,country,,
wba_prj_01HREAL137,BEN,,BEN,Location for wba_prj_01HREAL137,country,,
wba_prj_01HREAL138,TZA,,TZA,Location for wba_prj_01HREAL138,country,,
wba_prj_01HREAL139,MAR,,MAR,Location for wba_prj_01HREAL139,country,,
wba_prj_01HREAL140,CIV,,CIV,Location for wba_prj_01HREAL140,country,,
wba_prj_01HREAL141,NGA,,NGA,Location for wba_prj_01HREAL141,country,,
wba_prj_01HREAL142,SOM,,SOM,Location for wba_prj_01HREAL142,country,,
wba_prj_01HREAL143,ZMB,,ZMB,Location for wba_prj_01HREAL143,country,,
wba_prj_01HREAL144,ETH,,ETH,Location for wba_prj_01HREAL144,country,,
wba_prj_01HREAL145,MAR,,MAR,Location for wba_prj_01HREAL145,country,,
wba_prj_01HREAL146,GHA,,GHA,Location for wba_prj_01HREAL146,country,,
wba_prj_01HREAL147,UGA,,UGA,Location for wba_prj_01HREAL147,country,,
wba_prj_01HREAL148,MAR,,MAR,Location for wba_prj_01HREAL148,country,,
wba_prj_01HREAL149,KEN,,KEN,Location for wba_prj_01HREAL149,country,,
wba_prj_01HREAL150,SEN,,SEN,Location for wba_prj_01HREAL150,country,,
wba_prj_01HREAL151,Central,Kampala,Kampala,Kampala-Malaba corridor,corridor,,
wba_prj_01HREAL152,Eastern,Iganga,Iganga,Iganga-Kamuli corridor,corridor,,
wba_prj_01HREAL153,Central,Mubende,Mubende,Lusalira-Sembabule corridor,corridor,,
wba_prj_01HREAL154,Louga,Linguere,Ndande,Ndande-Gueoul corridor,corridor,,
wba_prj_01HREAL155,Thies,Tivaouane,Mekhe,Mekhe-Ndande corridor,corridor,,
wba_prj_01HREAL156,Tana River,Galana,Galana,Galana Kulalu dam,exact,-2.50,39.50
wba_prj_01HREAL157,Kitui,Kitui,Kitui,Umaa dam,exact,-1.37,38.02
wba_prj_01HREAL158,Bujumbura,Bujumbura,Bujumbura,Bujumbura-Gitaza corridor,corridor,,
wba_prj_01HREAL159,Kigoma,Uvinza,Uvinza,Uvinza-Musongati corridor,corridor,,
wba_prj_01HREAL160,Santiago,Praia,Praia,Santiago desalination Calheta and Palmarejo,exact,15.09,-23.50
wba_prj_01HREAL161,Santiago,Praia,Praia,ENAPOR vessel Santiago,exact,14.91,-23.50
wba_prj_01HREAL162,Sal,Sal,Sal,Amilcar Cabral Airport,exact,16.72,-22.94
wba_prj_01HREAL163,Gash-Barka,Akordet,Habela,Habela-Cheatat corridor,exact,15.30,38.70
wba_prj_01HREAL164,Moyen-Chari,Doba,Doba,Doba-Kribi corridor,corridor,,
wba_prj_01HREAL165,Mokhotlong,Mokhotlong,Mokhotlong,Polihali Dam site,district,,
wba_prj_01HREAL166,Kayes,Bafoulabe,Diamou,Gouina Falls Senegal River,district,,
wba_prj_01HREAL167,Montserrado,Greater Monrovia,Harrisburg,Mount Coffee Saint Paul River,district,,
wba_prj_01HREAL168,Sousse,Enfidha,Enfidha,Enfidha-Hammamet Airport,city,,
wba_prj_01HREAL169,Maritime,Golfe,Lome,Port of Lome container terminal,city,,
wba_prj_01HREAL170,Tillaberi,Tillaberi,Kandadji,Kandadji Dam site Niger River,district,,
wba_prj_01HREAL171,Northern,Merowe,Merowe,Merowe Dam Nile 4th cataract,district,,
wba_prj_01HREAL172,Offshore,Offshore,Tortue Ahmeyim,GTA field FPSO 40km offshore,corridor,,
wba_prj_01HREAL173,Hhohho,Piggs Peak,Piggs Peak,Maguga Dam Komati River,district,,
wba_prj_01HREAL174,Mahe,Victoria,Victoria,Port Victoria Mahe Quay,city,,
wba_prj_01HREAL175,Central Equatoria,Juba,Juba,Freedom Bridge White Nile,city,,
wba_prj_01HREAL176,Banjul,Banjul,Banjul,Port of Banjul,city,,
wba_prj_01HREAL177,Wele-Nzas,Djibloho,Djibloho,Djibloho Dam Wele River,district,,
wba_prj_01HREAL178,Karas,Keetmanshoop,Keetmanshoop,Neckartal Dam Fish River,district,,
wba_prj_01HREAL179,Banadir,Mogadishu,Mogadishu,Port of Mogadishu Alport,city,,
wba_prj_01HREAL180,Plateaux,Ngabe,Ngabe,Imboulou Dam Lefini River,district,,
wba_prj_01HREAL181,Djibouti,Djibouti,Doraleh,Doraleh Multipurpose Port,city,,
wba_prj_01HREAL182,Kongo-Central,Mbanza-Ngungu,Zongo,Zongo II Inkisi River,district,,
wba_prj_01HREAL183,Southern,Blantyre,Tedzani,Tedzani IV Shire River,district,,
wba_prj_01HREAL184,Hauts-Bassins,Bobo-Dioulasso,Samendeni,Samendeni Dam Mouhoun River,district,,
wba_prj_01HREAL185,Estuaire,Libreville,Owendo,New Owendo International Port Igombe,city,,
wba_prj_01HREAL186,Semienawi Keyih Bahri,Massawa,Massawa,Hirgigo Power Plant,city,,
wba_prj_01HREAL187,Northern,Tonkolili,Bumbuna,Bumbuna Dam Seli River,district,,
wba_prj_01HREAL188,Fezzan,Ubari,Ubari,Ubari Gas Turbine Plant desert,city,,
wba_prj_01HREAL189,Grande Comore,Moroni,Moroni,El-Maarouf Hospital Moroni,city,,
wba_prj_01HREAL190,Moka,Moka,Bagatelle,Bagatelle Dam 22km SE Port Louis,district,,
wba_prj_01HREAL191,Kayes,Kayes,Felou,Felou Falls Senegal River,district,,
wba_prj_01HREAL192,Nouakchott,Nouakchott,Nouakchott,Nouakchott Container Terminal Amitie,city,,
wba_prj_01HREAL193,Bissau,Bissau,Bissau,Port of Bissau,city,,
wba_prj_01HREAL194,Agua Grande,Sao Tome,Sao Tome,Sao Tome International Airport,city,,
wba_prj_01HREAL195,Atsinanana,Toamasina,Toamasina,Port of Toamasina Quay C4,city,,
wba_prj_01HREAL196,Littoral,Cotonou,Cotonou,Port of Cotonou Terminal 5,city,,
wba_prj_01HREAL197,Bioko Norte,Malabo,Punta Europa,Punta Europa LNG Bioko Island,district,,
wba_prj_01HREAL198,Grand Bassa,Buchanan,Buchanan,Buchanan rail siding Km 2.5-4,corridor,,
wba_prj_01HREAL199,Sfax,Sfax,Sfax,Sfax-Gafsa-Gabes phosphate line,corridor,,
wba_prj_01HREAL200,Centrale,Blitta,Blitta,Blitta Solar 267km from Lome,city,,
wba_prj_01HREAL201,Maseru,Maseru,Metolong,Metolong Dam Phuthiatsana River,district,,
wba_prj_01HREAL202,Hadjer-Lamis,Djermaya,Djermaya,Djermaya Refinery near NDjamena,city,,
wba_prj_01HREAL203,Agadez,Agadez,Agadez,Agadez hybrid solar plant,city,,
wba_prj_01HREAL204,Shiselweni,Mpakeni,Mpakeni,Mpakeni Dam MNWAP,district,,
wba_prj_01HREAL205,Northern,Bombali,Bombali,CLSG line Sierra Leone 530km,corridor,,
wba_prj_01HREAL206,Bangui,Bangui,Bangui,Bangui Municipal Roads,city,,
wba_prj_01HREAL207,Blue Nile,Damazin,Roseires,Roseires Dam Blue Nile,district,,
wba_prj_01HREAL208,Central Equatoria,Juba,Juba,Juba Thermal Power Station,city,,
wba_prj_01HREAL209,Mahe,Anse Etoile,La Gogue,La Gogue Dam Mahe,district,,
wba_prj_01HREAL210,Atlantique,Abomey-Calavi,Glo-Djigbe,Glo-Djigbe Airport site,district,,
wba_prj_01HREAL211,Bangui,Bangui,Bangui,Sapeke Bridge Bangui,city,,
wba_prj_01HREAL212,Djibouti,Djibouti,Djibouti,Djibouti Free Trade Zone 48km2,city,,
wba_prj_01HREAL213,Grande Comore,Moroni,Moroni,Moroni and Boingoma ports maritime corridor,city,,
wba_prj_01HREAL214,Plaines Wilhems,Saint Pierre,Saint Pierre,Cote dOr National Sports Complex,city,,
wba_prj_01HREAL215,Atsinanana,Toamasina,Toamasina,RN2 Toamasina Tsarakofafa corridor,corridor,,
wba_prj_01HREAL216,Bissau,Bissau,Bissau,Osvaldo Vieira International Airport,city,,
wba_prj_01HREAL217,Atlantique,Ouidah,Ouidah,La Marina Waterfront Ouidah,city,,
wba_prj_01HREAL218,Lobaye,Mbaiki,Mbaiki,Bossarangba-Mbaiki Road PK30-PK98,corridor,,
wba_prj_01HREAL219,Moka,Riche Terre,Riche Terre,Jin Fei Smart City 211ha,city,,
wba_prj_01HREAL220,Victoria,Ile Aurore,Ile Aurore,Ile Aurore reclamation dredging,city,,
wba_prj_01HREAL221,Bururi,Bururi,Jiji,Jiji and Mulembwe rivers Burundi,district,,
wba_prj_01HREAL222,Hauts-Bassins,Bobo-Dioulasso,Bobo-Dioulasso,Bobo-Dioulasso Hospital 17 buildings,city,,
wba_prj_01HREAL223,Central,Mahalapye,Letsibogo,Letsibogo Dam Motloutse River,district,,
