id,canonical_name,org_type,notes
wba_org_01HREAL078,Bollore Africa Logistics,private,"France, shareholder Tema"
wba_org_01HREAL079,APM Terminals,private,"Denmark/Netherlands, shareholder Tema"
wba_org_01HREAL080,ICBC,private,"China, financier Caculo Cabaca"
wba_org_01HREAL081,ACWA Power,private,"Saudi Arabia, developer Noor Ouarzazate"
wba_org_01HREAL082,Moroccan Agency for Sustainable Energy,state_agency,"MASEN, owner Noor"
wba_org_01HREAL083,Namibian Ports Authority,state_agency,"Namport, owner Walvis Bay"
wba_org_01HREAL084,Kribi Port Authority,state_agency,"Cameroon, owner Kribi Port"
wba_org_01HREAL085,Bombela Consortium,private,"South Africa, EPC Gautrain"
wba_org_01HREAL086,Bouygues Travaux Publics,private,"France, contractor Gautrain"
wba_org_01HREAL087,Sicomines,private,"DRC, mining JV Busanga"
wba_org_01HREAL088,China State Construction Engineering Corporation,soe,"CSCEC, contractor New Capital CBD"
wba_org_01HREAL089,Administrative Capital for Urban Development,state_agency,"Egypt, owner New Capital"
wba_org_01HREAL090,Limak Holding,private,"Turkey, contractor AIBD"
wba_org_01HREAL091,Summa Construction,private,"Turkey, contractor AIBD/BK Arena"
wba_org_01HREAL092,Dakar Airport Authority,state_agency,"Senegal, owner AIBD"
wba_org_01HREAL093,Rwanda Housing Authority,state_agency,"Rwanda, owner BK Arena"
wba_org_01HREAL094,Uganda Ministry of Energy,state_agency,"Uganda, owner Karuma"
wba_org_01HREAL096,Societe Nationale d Electricite du Burkina Faso,state_agency,"SONABEL, owner Zagtouli"
wba_org_01HREAL097,Agence Francaise de Developpement,dev_bank,"AFD, financier Zagtouli"
wba_org_01HREAL098,Cegelec,private,"France, EPC Zagtouli"
