id,project_id,title,contract_id_external,contracting_authority,contractor,contract_type,procurement_method,status,award_date,sign_date,start_date,end_date,currency,value_original,value_precision,financing_source,amendment_count,notes
wba_ctr_01HREAL011,wba_prj_01HREAL011,Victoria Falls Airport EPC Contract,,wba_org_01HREAL006,wba_org_01HREAL005,construction,open_tender,completed,wba_date_01HREAL018,wba_date_01HREAL018,,,USD,150000000,exact,wba_org_01HREAL003,0,"$150m Exim Bank loan, 4km runway"
wba_ctr_01HREAL012,wba_prj_01HREAL013,Lamu Port Berths 1-3 Contract,,wba_org_01HREAL029,wba_org_01HREAL007,construction,open_tender,completed,wba_date_01HREAL021,wba_date_01HREAL021,,,USD,484000000,exact,,0,"$484m first 3 berths, CCCC/CRBC consortium, total Phase 1 $591m"
wba_ctr_01HREAL013,wba_prj_01HREAL014,Hawassa Park Design-Build Contract,,wba_org_01HREAL030,wba_org_01HREAL019,construction,direct_award,completed,wba_date_01HREAL023,wba_date_01HREAL023,,,USD,246000000,exact,,0,"$246m, 1.38m sqm, 9 months, Beijing Shougang design"
wba_ctr_01HREAL014,wba_prj_01HREAL015,Kazungula Bridge Design-Build Contract,,wba_org_01HREAL029,wba_org_01HREAL025,construction,open_tender,completed,wba_date_01HREAL025,wba_date_01HREAL026,,,USD,161000000,exact,,0,"923m extradosed, road+rail, Botswana/Zambia"
wba_ctr_01HREAL015,wba_prj_01HREAL012,Kenya-KAIST EDCF Loan Agreement,,wba_org_01HREAL028,wba_org_01HREAL027,consulting,direct_award,proposed,wba_date_01HREAL020,,,,USD,94700000,exact,wba_org_01HREAL027,0,"$94.7m EDCF Loan KEN-4, KAIST consortium consultancy"
wba_ctr_01HREAL016,wba_prj_01HREAL016,Beitbridge Border Post EPC Contract,,wba_org_01HREAL034,wba_org_01HREAL033,construction,direct_award,completed,wba_date_01HREAL029,wba_date_01HREAL029,,,USD,300000000,approx,wba_org_01HREAL033,0,"$300m Build-Operate-Transfer, 17yr concession, Zimborders"
wba_ctr_01HREAL017,wba_prj_01HREAL017,TelOne NBB Phase 2 Contract,,wba_org_01HREAL036,wba_org_01HREAL035,supply,direct_award,completed,wba_date_01HREAL030,wba_date_01HREAL030,,,USD,98600000,exact,wba_org_01HREAL003,0,"$98.6m PBC, Huawei EPC, 2 data centres"
wba_ctr_01HREAL018,wba_prj_01HREAL018,Thwake Dam EPC Contract,,wba_org_01HREAL037,wba_org_01HREAL037,construction,open_tender,active,,wba_date_01HREAL031,,,USD,120000000,approx,wba_org_01HREAL038,0,"Dam/tunnels/powerhouse, AfDB $370m Phase 1 total, 534M m3"
wba_ctr_01HREAL019,wba_prj_01HREAL019,Mombasa Port Berths 20-21 EPC,,wba_org_01HREAL029,wba_org_01HREAL039,construction,open_tender,completed,wba_date_01HREAL032,,,,JPY,,undisclosed,wba_org_01HREAL040,0,"Toyo Construction, JICA Sh32bn loan, Phase 1 Feb 2016 Phase 2 May 2022"
wba_ctr_01HREAL020,wba_prj_01HREAL020,Adama Wind EPC Contract,,wba_org_01HREAL021,wba_org_01HREAL042,construction,direct_award,completed,wba_date_01HREAL035,wba_date_01HREAL035,,,USD,392700000,approx,wba_org_01HREAL003,0,"204MW 136 turbines, $99.45m + $293.25m PBC, 2012/2015"
wba_ctr_01HREAL021,wba_prj_01HREAL021,Bole Airport Expansion Contract,,wba_org_01HREAL021,wba_org_01HREAL008,construction,direct_award,completed,wba_date_01HREAL036,wba_date_01HREAL036,,,USD,,undisclosed,,0,"CCCC, capacity 7m to 22m"
wba_ctr_01HREAL022,wba_prj_01HREAL022,Kafue Gorge Lower EPC Contract,,wba_org_01HREAL045,wba_org_01HREAL001,construction,direct_award,completed,wba_date_01HREAL037,wba_date_01HREAL037,,,USD,2000000000,approx,wba_org_01HREAL003,0,"750MW $2bn, 85% Exim+ICBC, first unit 2021"
wba_ctr_01HREAL023,wba_prj_01HREAL023,Nyerere EPC Contract,,wba_org_01HREAL046,wba_org_01HREAL047,construction,direct_award,completed,wba_date_01HREAL040,wba_date_01HREAL040,,,USD,2900000000,approx,,0,"2115MW $2.9bn, JV Arab Contractors/Elsewedy, signed Dec 2018"
wba_ctr_01HREAL024,wba_prj_01HREAL024,Maputo Bridge EPC Contract,,wba_org_01HREAL049,wba_org_01HREAL007,construction,direct_award,completed,wba_date_01HREAL039,wba_date_01HREAL039,,,USD,785000000,approx,wba_org_01HREAL003,0,"3,041m suspension, 680m span, 85% Exim loan"
wba_ctr_01HREAL025,wba_prj_01HREAL025,Bugesera Airport Concession EPC,,wba_org_01HREAL051,wba_org_01HREAL050,ppp,ppp,active,,,,,USD,818000000,approx,,0,"$818m DBFOM 25yr+15yr, 75% Mota-Engil"
wba_ctr_01HREAL026,wba_prj_01HREAL026,Dakar TER Infrastructure Contract,,wba_org_01HREAL052,wba_org_01HREAL052,construction,open_tender,completed,wba_date_01HREAL041,wba_date_01HREAL041,,,EUR,373500000,exact,,0,"Eiffage leader 45% + Yapi Merkezi + CSE, 370m euros"
wba_ctr_01HREAL027,wba_prj_01HREAL027,Bui Dam EPC Contract,,wba_org_01HREAL056,wba_org_01HREAL001,construction,direct_award,completed,wba_date_01HREAL043,wba_date_01HREAL043,,,USD,790000000,approx,wba_org_01HREAL003,0,"400MW $790m, $293.5m BCL + $330m GCL, signed 2007"
wba_ctr_01HREAL028,wba_prj_01HREAL028,Lauca Dam EPC Contract,,wba_org_01HREAL021,wba_org_01HREAL057,construction,direct_award,completed,wba_date_01HREAL045,wba_date_01HREAL045,,,USD,4300000000,approx,,0,"2070MW $4.3bn, 6x338MW, Odebrecht, ANDRITZ turbines"
wba_ctr_01HREAL029,wba_prj_01HREAL029,Kampala-Entebbe Expressway EPC,,wba_org_01HREAL059,wba_org_01HREAL008,construction,open_tender,completed,wba_date_01HREAL047,wba_date_01HREAL047,,,USD,476000000,approx,wba_org_01HREAL003,0,"51.4km 4-lane toll, $476m 2/3 Exim $350m, 5yr"
wba_ctr_01HREAL030,wba_prj_01HREAL030,Malawi Fibre Backbone EPC,,wba_org_01HREAL060,wba_org_01HREAL035,supply,direct_award,completed,wba_date_01HREAL049,wba_date_01HREAL049,,,USD,121800000,approx,wba_org_01HREAL003,0,"4000km fibre, $121.8m Phase1+2, Huawei"
wba_ctr_01HREAL031,wba_prj_01HREAL031,Tokwe-Mukosi Dam EPC,,wba_org_01HREAL062,wba_org_01HREAL020,construction,direct_award,completed,wba_date_01HREAL052,wba_date_01HREAL052,,,USD,,undisclosed,,0,"Webuild, 90.3m CFR 1.8Bn m3, Dec 2016"
wba_ctr_01HREAL032,wba_prj_01HREAL032,NetOne Phase 3 Supply Contract,,wba_org_01HREAL063,wba_org_01HREAL035,supply,direct_award,completed,wba_date_01HREAL054,wba_date_01HREAL054,,,USD,71000000,approx,wba_org_01HREAL003,0,"345 base stations 4G/5G, RMB485m"
wba_ctr_01HREAL033,wba_prj_01HREAL033,Olkaria Geothermal EPC,,wba_org_01HREAL064,wba_org_01HREAL066,supply,open_tender,completed,,,,,JPY,,undisclosed,wba_org_01HREAL040,0,"140MW Units 4&5 + V, JICA 45.69bn yen"
wba_ctr_01HREAL034,wba_prj_01HREAL034,Outer Ring Road EPC,,wba_org_01HREAL068,wba_org_01HREAL067,construction,open_tender,completed,wba_date_01HREAL055,wba_date_01HREAL055,,,USD,,undisclosed,wba_org_01HREAL038,0,"13km dual, China Wu Yi, AfDB UA77.6m"
wba_ctr_01HREAL035,wba_prj_01HREAL036,KKIA Terminal 2 EPC,,wba_org_01HREAL070,wba_org_01HREAL071,construction,open_tender,completed,wba_date_01HREAL058,wba_date_01HREAL058,,,USD,360000000,exact,wba_org_01HREAL003,0,"6M pax, $360m Exim"
wba_ctr_01HREAL036,wba_prj_01HREAL037,Tanzania SGR Lots 3-4 EPC,,wba_org_01HREAL073,wba_org_01HREAL054,construction,direct_award,active,wba_date_01HREAL061,wba_date_01HREAL061,,,USD,1900000000,exact,,0,"368km +130km, Yapi Merkezi, $1.9bn"
wba_ctr_01HREAL037,wba_prj_01HREAL038,Nacala Corridor Concession,,wba_org_01HREAL074,wba_org_01HREAL074,ppp,ppp,active,,,,,USD,,undisclosed,,0,"912km rail+port, Vale/Mitsui 18MTPA"
wba_ctr_01HREAL038,wba_prj_01HREAL039,Tema Port T3 EPC,,wba_org_01HREAL077,wba_org_01HREAL076,construction,open_tender,completed,wba_date_01HREAL063,wba_date_01HREAL063,,,USD,,undisclosed,,0,"1.4km quay 3M TEU, AECOM design, IFC $250m"
wba_ctr_01HREAL039,wba_prj_01HREAL041,Noor Ouarzazate Phase I EPC,,wba_org_01HREAL082,wba_org_01HREAL081,construction,open_tender,completed,wba_date_01HREAL064,wba_date_01HREAL064,,,USD,840000000,approx,,0,"160MW CSP trough Phase I, $840m"
wba_ctr_01HREAL040,wba_prj_01HREAL042,Walvis Bay Terminal EPC,,wba_org_01HREAL083,wba_org_01HREAL035,construction,open_tender,completed,wba_date_01HREAL067,wba_date_01HREAL068,,,USD,260000000,exact,wba_org_01HREAL038,0,"40ha reclaimed 750k TEU, CHEC $260m"
wba_ctr_01HREAL041,wba_prj_01HREAL043,Kribi Port Phases EPC,,wba_org_01HREAL084,wba_org_01HREAL035,construction,direct_award,completed,wba_date_01HREAL069,wba_date_01HREAL069,,,USD,,undisclosed,wba_org_01HREAL003,0,"615m+715m wharf, CHEC, CMA CGM/Bollore concession"
wba_ctr_01HREAL042,wba_prj_01HREAL044,Gautrain EPC,,wba_org_01HREAL085,wba_org_01HREAL086,construction,ppp,completed,wba_date_01HREAL074,wba_date_01HREAL074,,,ZAR,24000000000,approx,,0,"80km 10 stations, R24bn $3bn, Bouygues/Bombardier"
wba_ctr_01HREAL043,wba_prj_01HREAL045,Busanga EPC,,wba_org_01HREAL087,wba_org_01HREAL020,construction,ppp,completed,wba_date_01HREAL075,wba_date_01HREAL076,,,USD,,undisclosed,,0,"240MW, PowerChina/CREC SICOMINES $14bn"
wba_ctr_01HREAL044,wba_prj_01HREAL046,New Capital CBD EPC,,wba_org_01HREAL089,wba_org_01HREAL088,construction,direct_award,active,wba_date_01HREAL077,wba_date_01HREAL077,,,USD,3000000000,approx,,0,"20 towers 505k m2, $3bn CSCEC"
wba_ctr_01HREAL045,wba_prj_01HREAL047,AIBD Dakar EPC,,wba_org_01HREAL092,wba_org_01HREAL090,construction,ppp,completed,wba_date_01HREAL078,wba_date_01HREAL078,,,USD,,undisclosed,,0,"3M pax 43km from Dakar, Limak/Summa BOT 25yr"
wba_ctr_01HREAL046,wba_prj_01HREAL048,BK Arena EPC,,wba_org_01HREAL093,wba_org_01HREAL091,construction,direct_award,completed,wba_date_01HREAL079,wba_date_01HREAL080,,,USD,104000000,exact,,0,"10k seats 28,750m2, 6 months 2019"
wba_ctr_01HREAL047,wba_prj_01HREAL049,Karuma EPC,,wba_org_01HREAL094,wba_org_01HREAL001,construction,direct_award,completed,wba_date_01HREAL081,wba_date_01HREAL082,,,USD,1700000000,approx,wba_org_01HREAL003,0,"600MW 6x100MW, $1.7bn 85% Exim, 2013-2024"
wba_ctr_01HREAL048,wba_prj_01HREAL050,Zagtouli EPC,,wba_org_01HREAL096,wba_org_01HREAL098,construction,open_tender,completed,wba_date_01HREAL083,wba_date_01HREAL084,,,EUR,47500000,approx,wba_org_01HREAL097,0,"33MW 129k panels 55ha, EU25m+AFD22.5m"
