id,source_id,project_id,organization_id,contract_id,verbatim_quote,claim_text,claim_type,evidence_strength,corroboration_status
wba_clm_01HREAL011,wba_src_01HREAL012,wba_prj_01HREAL008,wba_org_01HREAL014,wba_ctr_01HREAL007,The Ethiopia-Djibouti railway was constructed by China Railway Group and CCECC with financing from Exim Bank of China.,CREC and CCECC constructed Ethio-Djibouti Railway with Exim Bank financing.,award,officially_reported,corroborated
wba_clm_01HREAL012,wba_src_01HREAL013,wba_prj_01HREAL008,,,"The 752 km Ethiopia-Djibouti railway was inaugurated on October 5, 2016.",Ethio-Djibouti Railway inaugurated 5 October 2016.,status,officially_reported,corroborated
wba_clm_01HREAL013,wba_src_01HREAL014,wba_prj_01HREAL009,wba_org_01HREAL020,,"Webuild is the contractor for the Grand Ethiopian Renaissance Dam with 5,150 MW capacity.","Webuild (Italy) is contractor for GERD, 5,150 MW.",award,officially_reported,corroborated
wba_clm_01HREAL014,wba_src_01HREAL015,wba_prj_01HREAL009,,,"Ethiopia inaugurated the GERD on September 9, 2025.",GERD inaugurated 9 September 2025.,status,credibly_reported,corroborated
wba_clm_01HREAL015,wba_src_01HREAL016,wba_prj_01HREAL010,wba_org_01HREAL022,wba_ctr_01HREAL010,"The New Parliament Building constructed by Shanghai Construction Group was handed over on October 26, 2023.","Shanghai Construction Group constructed New Parliament Building, handed over 26 October 2023.",award,officially_reported,corroborated
wba_clm_01HREAL016,wba_src_01HREAL017,wba_prj_01HREAL010,wba_org_01HREAL024,,China provided RMB 675.8 million grant for New Parliament Building via MOFCOM.,China Ministry of Commerce provided RMB 675.8m grant for New Parliament.,value,credibly_reported,uncorroborated
wba_clm_01HREAL017,wba_src_01HREAL018,wba_prj_01HREAL011,wba_org_01HREAL005,wba_ctr_01HREAL011,"Mugabe opened the $150 million China-funded Victoria Falls International Airport on November 19, 2016.","China Jiangsu built Victoria Falls Airport, $150m Exim Bank loan, opened 19 November 2016.",award,credibly_reported,corroborated
wba_clm_01HREAL018,wba_src_01HREAL019,wba_prj_01HREAL012,wba_org_01HREAL027,,Kenya signed financing agreement with Export-Import Bank of Korea for $94.7m for Kenya-KAIST at Konza.,Korea Eximbank provided $94.7m EDCF loan for Kenya-KAIST.,value,officially_reported,corroborated
wba_clm_01HREAL019,wba_src_01HREAL020,wba_prj_01HREAL013,wba_org_01HREAL007,wba_ctr_01HREAL012,"A consortium led by China Communications Construction Company won the $484m contract for first three berths at Lamu port on April 11, 2013.","CCCC/CRBC won $484m contract for Lamu Port first 3 berths, 11 April 2013.",award,confirmed,corroborated
wba_clm_01HREAL020,wba_src_01HREAL021,wba_prj_01HREAL014,wba_org_01HREAL019,wba_ctr_01HREAL013,"Hawassa Industrial Park was constructed by CCECC and inaugurated on July 20, 2016.","CCECC constructed Hawassa Industrial Park, inaugurated 20 July 2016.",award,credibly_reported,corroborated
wba_clm_01HREAL021,wba_src_01HREAL022,wba_prj_01HREAL014,wba_org_01HREAL019,,"China Civil Engineering Corporation concluded a $246m deal for Hawassa Industrial Park on July 16, 2015.","CCECC $246m deal for Hawassa Industrial Park, 16 July 2015.",value,officially_reported,uncorroborated
wba_clm_01HREAL022,wba_src_01HREAL023,wba_prj_01HREAL015,wba_org_01HREAL025,wba_ctr_01HREAL014,Daewoo Engineering & Construction won the $161m contract for Kazungula Bridge in August 2014.,"Daewoo E&C won $161m Kazungula Bridge contract, August 2014.",award,credibly_reported,corroborated
wba_clm_01HREAL023,wba_src_01HREAL024,wba_prj_01HREAL016,wba_org_01HREAL033,wba_ctr_01HREAL016,Raubex was appointed by Zimborders as the EPC Contractor for Beitbridge Border Post Modernisation.,Raubex was appointed EPC Contractor for Beitbridge Border Post Modernisation.,award,officially_reported,corroborated
wba_clm_01HREAL024,wba_src_01HREAL026,wba_prj_01HREAL017,wba_org_01HREAL035,wba_ctr_01HREAL017,Zimbabwe launches two data centers in partnership with Huawei under $98m loan from China Exim.,Huawei built TelOne broadband and 2 data centres with $98m China Exim loan.,award,credibly_reported,uncorroborated
wba_clm_01HREAL025,wba_src_01HREAL027,wba_prj_01HREAL018,wba_org_01HREAL037,wba_ctr_01HREAL018,"Energy China signed Contract for Thwake Multi-purpose Dam Project with Ministry of Water and Irrigation of Kenya on November 15, 2017.","CGGC signed Thwake Dam contract with Kenya Ministry of Water, 15 November 2017.",award,officially_reported,corroborated
wba_clm_01HREAL026,wba_src_01HREAL029,wba_prj_01HREAL019,wba_org_01HREAL039,wba_ctr_01HREAL019,Toyo Construction received order for Mombasa Port Container Terminal construction in 2012.,"Toyo Construction is contractor for Mombasa Port Second Container Terminal, order 2012.",award,officially_reported,corroborated
wba_clm_01HREAL027,wba_src_01HREAL030,wba_prj_01HREAL019,wba_org_01HREAL040,,Kenya Ports Authority modernization funded by JICA Sh32bn loan for second container terminal.,JICA financed Sh32bn for Mombasa Port second terminal.,value,credibly_reported,uncorroborated
wba_clm_01HREAL028,wba_src_01HREAL031,wba_prj_01HREAL020,wba_org_01HREAL042,wba_ctr_01HREAL020,Adama Wind Power Project constructed by CGCOC and HydroChina with Goldwind turbines.,CGCOC/HydroChina constructed Adama Wind Power with Goldwind turbines.,award,officially_reported,corroborated
wba_clm_01HREAL029,wba_src_01HREAL032,wba_prj_01HREAL021,wba_org_01HREAL008,wba_ctr_01HREAL021,"Bole International Airport new terminal built by China Communications Construction Company, started 2015.","CCCC built Bole Airport expansion, started 2015.",award,officially_reported,uncorroborated
wba_clm_01HREAL030,wba_src_01HREAL033,wba_prj_01HREAL022,wba_org_01HREAL001,wba_ctr_01HREAL022,"Zambia Kafue Gorge Lower Hydropower Station built by Sinohydro, 750MW.",Sinohydro built Kafue Gorge Lower 750MW hydropower station.,award,officially_reported,corroborated
wba_clm_01HREAL031,wba_src_01HREAL034,wba_prj_01HREAL023,wba_org_01HREAL047,wba_ctr_01HREAL023,Julius Nyerere Hydropower Plant 2115MW constructed by JV Arab Contractors and Elsewedy Electric.,JV Arab Contractors and Elsewedy Electric built Nyerere Dam 2115MW.,award,officially_reported,corroborated
wba_clm_01HREAL032,wba_src_01HREAL035,wba_prj_01HREAL024,wba_org_01HREAL007,wba_ctr_01HREAL024,Maputo Bridge and Link Roads project built by China Road and Bridge Corporation.,CRBC built Maputo-Katembe Bridge.,award,officially_reported,corroborated
wba_clm_01HREAL033,wba_src_01HREAL037,wba_prj_01HREAL025,wba_org_01HREAL050,wba_ctr_01HREAL025,"Mota-Engil is developer and EPC contractor for new Bugesera International Airport, 75% Bugesera Airport Company.","Mota-Engil is developer and EPC contractor for Bugesera Airport, 75%.",award,officially_reported,corroborated
wba_clm_01HREAL034,wba_src_01HREAL039,wba_prj_01HREAL026,wba_org_01HREAL052,wba_ctr_01HREAL026,"Eiffage starts work on Dakar Regional Express Train project under contract worth more than 370 million euros, consortium leader 45%.","Eiffage led consortium started Dakar TER, contract 370m euros, leader 45%.",award,officially_reported,corroborated
wba_clm_01HREAL035,wba_src_01HREAL040,wba_prj_01HREAL027,wba_org_01HREAL001,wba_ctr_01HREAL027,Bui Generating Station EPC Contract Agreement signed on 19 April 2007 between Ministry of Energy and Sinohydro Corporation.,Sinohydro EPC contract for Bui Dam signed 19 April 2007.,award,officially_reported,corroborated
wba_clm_01HREAL036,wba_src_01HREAL041,wba_prj_01HREAL028,wba_org_01HREAL057,wba_ctr_01HREAL028,Angola inaugurates Lauca Hydroelectric Plant built by OEC (Odebrecht).,OEC (Odebrecht) built Lauca Hydroelectric Plant.,award,officially_reported,corroborated
wba_clm_01HREAL037,wba_src_01HREAL042,wba_prj_01HREAL029,wba_org_01HREAL008,wba_ctr_01HREAL029,"Two thirds of US$476m Kampala-Entebbe scheme financed by EXIM Bank, 5-year design and build contract awarded to China Communications Construction Company.","CCCC built Kampala-Entebbe Expressway, 2/3 financed by China Exim $350m, 5-year contract.",award,credibly_reported,uncorroborated
wba_clm_01HREAL038,wba_src_01HREAL043,wba_prj_01HREAL030,wba_org_01HREAL035,wba_ctr_01HREAL030,Malawi National Optic Fibre Backbone Project completed by Huawei in April 2018.,Huawei completed Malawi National Fibre Backbone in April 2018.,award,officially_reported,corroborated
wba_clm_01HREAL039,wba_src_01HREAL044,wba_prj_01HREAL031,wba_org_01HREAL020,wba_ctr_01HREAL031,Tokwe-Mukosi Dam constructed by Salini Impregilo (Webuild) completed December 2016.,"Webuild constructed Tokwe-Mukosi Dam, completed Dec 2016.",award,officially_reported,uncorroborated
wba_clm_01HREAL040,wba_src_01HREAL045,wba_prj_01HREAL032,wba_org_01HREAL035,wba_ctr_01HREAL032,Zimbabwe advances on $71m mobile broadband project with Huawei under NetOne Phase 3.,"Huawei built NetOne Broadband Phase 3, $71m.",award,credibly_reported,uncorroborated
wba_clm_01HREAL041,wba_src_01HREAL047,wba_prj_01HREAL033,wba_org_01HREAL040,wba_ctr_01HREAL033,JICA financed Olkaria Geothermal Power Plants Units 4&5 and Olkaria V.,JICA financed Olkaria Geothermal 140MW.,value,officially_reported,uncorroborated
wba_clm_01HREAL042,wba_src_01HREAL048,wba_prj_01HREAL034,wba_org_01HREAL067,wba_ctr_01HREAL034,Kenyan President launched AfDB-financed Nairobi Outer Ring Road Improvement Project in January 2015 with China Wu Yi as contractor.,"China Wu Yi was contractor for Outer Ring Road, AfDB financed, launched Jan 2015.",award,officially_reported,corroborated
wba_clm_01HREAL043,wba_src_01HREAL044,wba_prj_01HREAL036,wba_org_01HREAL071,wba_ctr_01HREAL035,"Kenneth Kaunda International Airport Expansion constructed by China Jiangxi International, $360m Exim loan.","CJIC built KKIA expansion, $360m Exim loan.",award,credibly_reported,uncorroborated
wba_clm_01HREAL044,wba_src_01HREAL051,wba_prj_01HREAL037,wba_org_01HREAL054,wba_ctr_01HREAL036,Tanzania signs $1.9bn railway contract with Turkish firm Yapi Merkezi in December 2021.,"Yapi Merkezi signed $1.9bn Tanzania SGR Lots 3&4, Dec 2021.",award,confirmed,corroborated
wba_clm_01HREAL045,wba_src_01HREAL052,wba_prj_01HREAL038,wba_org_01HREAL074,,"Vale and Mitsui are sponsors of Nacala Railway and Port Corridor, 912km.",Vale and Mitsui sponsored Nacala Corridor 912km.,award,officially_reported,uncorroborated
wba_clm_01HREAL046,wba_src_01HREAL053,wba_prj_01HREAL039,wba_org_01HREAL076,wba_ctr_01HREAL037,AECOM was designer for Tema Port Expansion Terminal 3.,AECOM designed Tema Port T3.,award,officially_reported,uncorroborated
wba_clm_01HREAL047,wba_src_01HREAL055,wba_prj_01HREAL040,wba_org_01HREAL042,wba_ctr_01HREAL038,"Caculo Cabaca Hydropower Station 2172MW to be built by CGGC, financed by ICBC 85% $4.5bn.","CGGC will build Caculo Cabaca 2172MW, ICBC 85% $4.5bn.",award,officially_reported,uncorroborated
wba_clm_01HREAL048,wba_src_01HREAL056,wba_prj_01HREAL041,wba_org_01HREAL081,wba_ctr_01HREAL039,AfDB financed Noor Ouarzazate Solar Complex Phase I.,AfDB financed Noor Phase I.,value,officially_reported,corroborated
wba_clm_01HREAL049,wba_src_01HREAL058,wba_prj_01HREAL042,wba_org_01HREAL083,wba_ctr_01HREAL040,Namibia launched expanded Walvis Bay port new container terminal on 2 August 2019 built by CHEC.,Namport launched Walvis Bay terminal 2 Aug 2019 built by CHEC.,award,officially_reported,corroborated
wba_clm_01HREAL050,wba_src_01HREAL060,wba_prj_01HREAL043,wba_org_01HREAL084,wba_ctr_01HREAL041,"Kribi Deep Sea Port Phase I wharf 615m and Phase II 715m built by CHEC, handover Feb 2025.",CHEC built Kribi Port Phases I and II.,award,officially_reported,corroborated
wba_clm_01HREAL051,wba_src_01HREAL062,wba_prj_01HREAL044,wba_org_01HREAL086,wba_ctr_01HREAL042,Gautrain Rapid Rail System built by Bombela Consortium including Bouygues Travaux Publics.,Bouygues built Gautrain 80km via Bombela.,award,officially_reported,corroborated
wba_clm_01HREAL052,wba_src_01HREAL063,wba_prj_01HREAL045,wba_org_01HREAL087,wba_ctr_01HREAL043,Busanga Hydropower Plant 240MW commissioned on 6 October 2023 by PowerChina and CREC.,"PowerChina/CREC commissioned Busanga 240MW, 6 Oct 2023.",award,officially_reported,uncorroborated
wba_clm_01HREAL053,wba_src_01HREAL064,wba_prj_01HREAL046,wba_org_01HREAL088,wba_ctr_01HREAL044,"New Administrative Capital CBD built by CSCEC, $3bn contract 2016.","CSCEC built New Capital CBD, $3bn.",award,officially_reported,uncorroborated
wba_clm_01HREAL054,wba_src_01HREAL065,wba_prj_01HREAL047,wba_org_01HREAL090,wba_ctr_01HREAL045,"Turkish firms Limak and Summa mark 5 years of airport operation in Senegal, AIBD.",Limak/Summa built and operate AIBD Dakar.,award,credibly_reported,uncorroborated
wba_clm_01HREAL055,wba_src_01HREAL066,wba_prj_01HREAL048,wba_org_01HREAL091,wba_ctr_01HREAL046,President Kagame inaugurated BK Arena built by Summa Construction in August 2019.,"Summa built BK Arena, inaugurated Aug 2019.",award,officially_reported,uncorroborated
wba_clm_01HREAL056,wba_src_01HREAL067,wba_prj_01HREAL049,wba_org_01HREAL001,wba_ctr_01HREAL047,President Museveni commissioned Karuma Hydropower Plant 600MW built by Sinohydro on 26 September 2024.,"Sinohydro built Karuma 600MW, commissioned 26 Sep 2024.",award,officially_reported,corroborated
wba_clm_01HREAL057,wba_src_01HREAL068,wba_prj_01HREAL049,,,Uganda commissions $1.7bn China-financed Karuma hydropower plant - Reuters.,"Karuma $1.7bn China-financed, $1.4bn Exim.",value,confirmed,uncorroborated
wba_clm_01HREAL058,wba_src_01HREAL069,wba_prj_01HREAL050,wba_org_01HREAL098,wba_ctr_01HREAL048,"Zagtouli Solar Power Station 33MW built by Cegelec (Vinci) with EU 25m + AFD 22.5m, commissioned Nov 2017.","Cegelec built Zagtouli 33MW, commissioned Nov 2017.",award,officially_reported,corroborated
wba_clm_01HREAL059,wba_src_01HREAL070,wba_prj_01HREAL051,wba_org_01HREAL099,wba_ctr_01HREAL049,"Ajaokuta Steel Mill was built by Tyazhpromexport of the Soviet Union under 1979 agreement, abandoned 98% complete.","Tyazhpromexport built Ajaokuta Steel Mill 1979, abandoned 98% complete.",award,officially_reported,uncorroborated
wba_clm_01HREAL060,wba_src_01HREAL071,wba_prj_01HREAL052,wba_org_01HREAL102,,"TAZARA Railway was built by China with 13,000 Chinese technicians, commissioned 1975.",China built TAZARA Railway 1970-1975.,award,officially_reported,uncorroborated
wba_clm_01HREAL061,wba_src_01HREAL072,wba_prj_01HREAL053,wba_org_01HREAL103,wba_ctr_01HREAL050,"Akosombo Dam was built by Impregilo, commissioned 1965.",Impregilo built Akosombo Dam 1961-1965.,award,officially_reported,uncorroborated
wba_clm_01HREAL062,wba_src_01HREAL073,wba_prj_01HREAL054,wba_org_01HREAL106,,"Cahora Bassa Dam built by Portugal, commissioned 1979.",Portugal built Cahora Bassa Dam 1969-1979.,award,officially_reported,uncorroborated
wba_clm_01HREAL063,wba_src_01HREAL074,wba_prj_01HREAL055,wba_org_01HREAL107,wba_ctr_01HREAL051,Aswan High Dam was designed by Soviet Hydroproject Institute and financed by USSR.,Soviet Hydroproject designed Aswan High Dam financed by USSR.,award,officially_reported,uncorroborated
wba_clm_01HREAL064,wba_src_01HREAL075,wba_prj_01HREAL056,wba_org_01HREAL109,,"Great Man-Made River Phases I-II completed 1991 and 1996 by Dong Ah Korea, Phases III-IV delayed post-2011 war.","Dong Ah completed GMR Phases I-II 1991/1996, Phases III-IV delayed.",award,officially_reported,uncorroborated
wba_clm_01HREAL065,wba_src_01HREAL076,wba_prj_01HREAL057,wba_org_01HREAL111,wba_ctr_01HREAL052,Merowe Dam commissioned 3 March 2009 built by CWE China.,CWE built Merowe Dam commissioned 3 Mar 2009.,award,officially_reported,corroborated
wba_clm_01HREAL066,wba_src_01HREAL078,wba_prj_01HREAL058,wba_org_01HREAL001,wba_ctr_01HREAL053,Soubre Hydroelectric Power Station 275MW commissioned with Sinohydro as EPC contractor.,Sinohydro built Soubre 275MW.,award,officially_reported,corroborated
wba_clm_01HREAL067,wba_src_01HREAL080,wba_prj_01HREAL059,wba_org_01HREAL114,wba_ctr_01HREAL054,Kilamba Kiaxi New City built by CITIC China $3.5bn oil-backed loan 2008-2011.,CITIC built Kilamba New City $3.5bn 2008-2011.,award,officially_reported,uncorroborated
wba_clm_01HREAL068,wba_src_01HREAL081,wba_prj_01HREAL060,wba_org_01HREAL037,,"Kandadji Dam EPC contractor since 2019 is CGGC China replacing Russia Zarubezhvodstroy, delayed since 2008.","CGGC replaced Zarubezhvodstroy for Kandadji Dam 2019, delayed since 2008.",award,officially_reported,uncorroborated
wba_clm_01HREAL069,wba_src_01HREAL082,wba_prj_01HREAL061,,,Tanzania China-backed $10bn port plan stalls over terms - Bagamoyo suspended 2019.,Bagamoyo Port $10bn suspended 2019 over terms.,status,confirmed,corroborated
wba_clm_01HREAL070,wba_src_01HREAL084,wba_prj_01HREAL062,wba_org_01HREAL121,,East Africa $5.6bn oil pipeline nears finish - EACOP.,TotalEnergies operates EACOP $5.6bn.,award,credibly_reported,uncorroborated
wba_clm_01HREAL071,wba_src_01HREAL085,wba_prj_01HREAL063,wba_org_01HREAL124,,Lobito Atlantic Railway concession awarded 2023 to Trafigura/Mota-Engil/Vecturis.,Lobito Atlantic Railway concession 2023 Trafigura/Mota-Engil/Vecturis.,award,officially_reported,uncorroborated
wba_clm_01HREAL072,wba_src_01HREAL086,wba_prj_01HREAL064,wba_org_01HREAL086,,Abidjan Metro Line 1 contract 2017 Bouygues/Alstom/Keolis delayed to 2028.,Bouygues/Alstom/Keolis Abidjan Metro delayed to 2028.,award,officially_reported,uncorroborated
wba_clm_01HREAL073,wba_src_01HREAL087,wba_prj_01HREAL065,wba_org_01HREAL088,wba_ctr_01HREAL055,Great Mosque of Algiers built by CSCEC China 1bn 2012-2019.,CSCEC built Great Mosque of Algiers 2012-2019.,award,officially_reported,corroborated
wba_clm_01HREAL074,wba_src_01HREAL089,wba_prj_01HREAL066,wba_org_01HREAL130,wba_ctr_01HREAL056,East-West Highway 1216km built by CITIC-CRCC China and Cojaal Japan.,CITIC-CRCC and Cojaal built East-West Highway 1216km.,award,officially_reported,uncorroborated
wba_clm_01HREAL075,wba_src_01HREAL090,wba_prj_01HREAL067,wba_org_01HREAL132,wba_ctr_01HREAL057,Enfidha Airport built by TAV Turkey BOT 40yr commissioned 2009.,TAV built Enfidha Airport BOT 40yr 2009.,award,officially_reported,uncorroborated
wba_clm_01HREAL076,wba_src_01HREAL091,wba_prj_01HREAL068,wba_org_01HREAL134,wba_ctr_01HREAL058,Djibouti ends DP World contract to run container terminal on 22 Feb 2018.,Djibouti cancelled DP World Doraleh contract 22 Feb 2018.,status,confirmed,corroborated
wba_clm_01HREAL077,wba_src_01HREAL092,wba_prj_01HREAL069,wba_org_01HREAL136,wba_ctr_01HREAL059,"Botswana cancels plans to sell troubled Morupule B power plant to Chinese firm, defective commissioned 2012-2014.",CNEEC built Morupule B defective 2012-2014.,award,confirmed,corroborated
wba_clm_01HREAL078,wba_src_01HREAL093,wba_prj_01HREAL070,wba_org_01HREAL035,wba_ctr_01HREAL060,"Africa CDC Headquarters built by CCECC China $80m grant, handover Jan 2023.","CCECC built Africa CDC HQ $80m grant, handover Jan 2023.",award,officially_reported,corroborated
wba_clm_01HREAL079,wba_src_01HREAL094,wba_prj_01HREAL071,wba_org_01HREAL139,wba_ctr_01HREAL061,Simandou Iron Ore Project Trans-Guineen Railway 650km by WCS/Rio Tinto.,WCS/Rio Tinto build Simandou 650km railway.,award,officially_reported,uncorroborated
wba_clm_01HREAL080,wba_src_01HREAL095,wba_prj_01HREAL072,wba_org_01HREAL035,wba_ctr_01HREAL062,"Abuja Light Rail built by CCECC China with China Exim 60% $500m, opened July 2018.","CCECC built Abuja Light Rail $500m 60% Exim, opened July 2018.",award,officially_reported,corroborated
wba_clm_01HREAL081,wba_src_01HREAL096,wba_prj_01HREAL073,wba_org_01HREAL143,wba_ctr_01HREAL063,"Niger-Benin Crude Oil Export Pipeline 1950km by CNPC, completed 2023.",CNPC built Niger-Benin Pipeline 1950km completed 2023.,award,officially_reported,uncorroborated
wba_clm_01HREAL082,wba_src_01HREAL097,wba_prj_01HREAL074,wba_org_01HREAL144,wba_ctr_01HREAL064,"2Africa Submarine Cable 45,000km built by Alcatel Submarine Networks.","Alcatel ASN built 2Africa 45,000km cable.",award,officially_reported,uncorroborated
wba_clm_01HREAL083,wba_src_01HREAL098,wba_prj_01HREAL075,wba_org_01HREAL146,wba_ctr_01HREAL065,"Bumbuna Dam 50MW built by Salini Impregilo Italy, completed 2009.",Salini Impregilo built Bumbuna 50MW 2009.,award,officially_reported,uncorroborated
