id,entity_type,entity_id,changed_by,changed_at,field,old_value,new_value,source_claim,reason
wba_chg_017,claim,wba_prj_01HREAL018,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL179,Added second source for exhaustive deepening batch
wba_chg_018,claim,wba_prj_01HREAL020,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL180,Added second source for exhaustive deepening batch
wba_chg_019,claim,wba_prj_01HREAL021,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL181,Added second source for exhaustive deepening batch
wba_chg_020,claim,wba_prj_01HREAL022,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL182,Added second source for exhaustive deepening batch
wba_chg_021,claim,wba_prj_01HREAL023,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL183,Added second source for exhaustive deepening batch
wba_chg_022,claim,wba_prj_01HREAL024,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL184,Added second source for exhaustive deepening batch
wba_chg_023,claim,wba_prj_01HREAL025,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL185,Added second source for exhaustive deepening batch
wba_chg_024,claim,wba_prj_01HREAL026,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL186,Added second source for exhaustive deepening batch
wba_chg_025,claim,wba_prj_01HREAL027,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL187,Added second source for exhaustive deepening batch
wba_chg_026,claim,wba_prj_01HREAL028,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL188,Added second source for exhaustive deepening batch
wba_chg_027,claim,wba_prj_01HREAL029,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL189,Added second source for exhaustive deepening batch
wba_chg_028,claim,wba_prj_01HREAL030,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL190,Added second source for exhaustive deepening batch
wba_chg_029,claim,wba_prj_01HREAL031,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL191,Added second source for exhaustive deepening batch
wba_chg_030,claim,wba_prj_01HREAL032,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL192,Added second source for exhaustive deepening batch
wba_chg_031,claim,wba_prj_01HREAL033,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL193,Added second source for exhaustive deepening batch
wba_chg_032,claim,wba_prj_01HREAL034,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL194,Added second source for exhaustive deepening batch
wba_chg_033,claim,wba_prj_01HREAL035,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL195,Added second source for exhaustive deepening batch
wba_chg_034,claim,wba_prj_01HREAL036,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL196,Added second source for exhaustive deepening batch
wba_chg_035,claim,wba_prj_01HREAL037,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL197,Added second source for exhaustive deepening batch
wba_chg_036,claim,wba_prj_01HREAL038,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL198,Added second source for exhaustive deepening batch
wba_chg_037,claim,wba_prj_01HREAL039,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL199,Added second source for exhaustive deepening batch
wba_chg_038,claim,wba_prj_01HREAL040,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL200,Added second source for exhaustive deepening batch
wba_chg_039,claim,wba_prj_01HREAL041,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL201,Added second source for exhaustive deepening batch
wba_chg_040,claim,wba_prj_01HREAL042,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL202,Added second source for exhaustive deepening batch
wba_chg_041,claim,wba_prj_01HREAL043,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL203,Added second source for exhaustive deepening batch
wba_chg_042,claim,wba_prj_01HREAL044,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL204,Added second source for exhaustive deepening batch
wba_chg_043,claim,wba_prj_01HREAL045,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL205,Added second source for exhaustive deepening batch
wba_chg_044,claim,wba_prj_01HREAL046,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL206,Added second source for exhaustive deepening batch
wba_chg_045,claim,wba_prj_01HREAL047,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL207,Added second source for exhaustive deepening batch
wba_chg_046,claim,wba_prj_01HREAL048,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL208,Added second source for exhaustive deepening batch
wba_chg_047,claim,wba_prj_01HREAL050,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL209,Added second source for exhaustive deepening batch
wba_chg_048,claim,wba_prj_01HREAL051,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL210,Added second source for exhaustive deepening batch
wba_chg_049,claim,wba_prj_01HREAL052,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL211,Added second source for exhaustive deepening batch
wba_chg_050,claim,wba_prj_01HREAL053,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL212,Added second source for exhaustive deepening batch
wba_chg_051,claim,wba_prj_01HREAL054,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL213,Added second source for exhaustive deepening batch
wba_chg_052,claim,wba_prj_01HREAL055,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL214,Added second source for exhaustive deepening batch
wba_chg_053,claim,wba_prj_01HREAL056,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL215,Added second source for exhaustive deepening batch
wba_chg_054,claim,wba_prj_01HREAL057,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL216,Added second source for exhaustive deepening batch
wba_chg_055,claim,wba_prj_01HREAL058,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL217,Added second source for exhaustive deepening batch
wba_chg_056,claim,wba_prj_01HREAL059,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL218,Added second source for exhaustive deepening batch
wba_chg_057,claim,wba_prj_01HREAL060,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL219,Added second source for exhaustive deepening batch
wba_chg_058,claim,wba_prj_01HREAL061,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL220,Added second source for exhaustive deepening batch
wba_chg_059,claim,wba_prj_01HREAL062,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL221,Added second source for exhaustive deepening batch
wba_chg_060,claim,wba_prj_01HREAL063,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL222,Added second source for exhaustive deepening batch
wba_chg_061,claim,wba_prj_01HREAL064,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL223,Added second source for exhaustive deepening batch
wba_chg_062,claim,wba_prj_01HREAL065,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL224,Added second source for exhaustive deepening batch
wba_chg_063,claim,wba_prj_01HREAL066,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL225,Added second source for exhaustive deepening batch
wba_chg_064,claim,wba_prj_01HREAL067,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL226,Added second source for exhaustive deepening batch
wba_chg_065,claim,wba_prj_01HREAL068,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL227,Added second source for exhaustive deepening batch
wba_chg_066,claim,wba_prj_01HREAL069,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL228,Added second source for exhaustive deepening batch
wba_chg_067,claim,wba_prj_01HREAL070,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL229,Added second source for exhaustive deepening batch
wba_chg_068,claim,wba_prj_01HREAL071,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL230,Added second source for exhaustive deepening batch
wba_chg_069,claim,wba_prj_01HREAL072,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL231,Added second source for exhaustive deepening batch
wba_chg_070,claim,wba_prj_01HREAL073,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL232,Added second source for exhaustive deepening batch
wba_chg_071,claim,wba_prj_01HREAL074,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL233,Added second source for exhaustive deepening batch
wba_chg_072,claim,wba_prj_01HREAL075,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL234,Added second source for exhaustive deepening batch
wba_chg_073,claim,wba_prj_01HREAL076,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL235,Added second source for exhaustive deepening batch
wba_chg_074,claim,wba_prj_01HREAL077,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL236,Added second source for exhaustive deepening batch
wba_chg_075,claim,wba_prj_01HREAL078,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL237,Added second source for exhaustive deepening batch
wba_chg_076,claim,wba_prj_01HREAL079,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL238,Added second source for exhaustive deepening batch
wba_chg_077,claim,wba_prj_01HREAL080,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL239,Added second source for exhaustive deepening batch
wba_chg_078,claim,wba_prj_01HREAL081,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL240,Added second source for exhaustive deepening batch
wba_chg_079,claim,wba_prj_01HREAL082,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL241,Added second source for exhaustive deepening batch
wba_chg_080,claim,wba_prj_01HREAL083,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL242,Added second source for exhaustive deepening batch
wba_chg_081,claim,wba_prj_01HREAL084,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL243,Added second source for exhaustive deepening batch
wba_chg_082,claim,wba_prj_01HREAL085,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL244,Added second source for exhaustive deepening batch
wba_chg_083,claim,wba_prj_01HREAL086,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL245,Added second source for exhaustive deepening batch
wba_chg_084,claim,wba_prj_01HREAL087,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL246,Added second source for exhaustive deepening batch
wba_chg_085,claim,wba_prj_01HREAL088,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL247,Added second source for exhaustive deepening batch
wba_chg_086,claim,wba_prj_01HREAL089,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL248,Added second source for exhaustive deepening batch
wba_chg_087,claim,wba_prj_01HREAL090,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL249,Added second source for exhaustive deepening batch
wba_chg_088,claim,wba_prj_01HREAL091,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL250,Added second source for exhaustive deepening batch
wba_chg_089,claim,wba_prj_01HREAL092,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL251,Added second source for exhaustive deepening batch
wba_chg_090,claim,wba_prj_01HREAL093,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL252,Added second source for exhaustive deepening batch
wba_chg_091,claim,wba_prj_01HREAL094,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL253,Added second source for exhaustive deepening batch
wba_chg_092,claim,wba_prj_01HREAL095,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL254,Added second source for exhaustive deepening batch
wba_chg_093,claim,wba_prj_01HREAL096,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL255,Added second source for exhaustive deepening batch
wba_chg_094,claim,wba_prj_01HREAL097,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL256,Added second source for exhaustive deepening batch
wba_chg_095,claim,wba_prj_01HREAL098,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL257,Added second source for exhaustive deepening batch
wba_chg_096,claim,wba_prj_01HREAL099,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL258,Added second source for exhaustive deepening batch
wba_chg_097,claim,wba_prj_01HREAL100,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL259,Added second source for exhaustive deepening batch
wba_chg_098,claim,wba_prj_01HREAL101,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL260,Added second source for exhaustive deepening batch
wba_chg_099,claim,wba_prj_01HREAL102,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL261,Added second source for exhaustive deepening batch
wba_chg_100,claim,wba_prj_01HREAL103,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL262,Added second source for exhaustive deepening batch
wba_chg_101,claim,wba_prj_01HREAL104,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL263,Added second source for exhaustive deepening batch
wba_chg_102,claim,wba_prj_01HREAL105,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL264,Added second source for exhaustive deepening batch
wba_chg_103,claim,wba_prj_01HREAL106,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL265,Added second source for exhaustive deepening batch
wba_chg_104,claim,wba_prj_01HREAL107,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL266,Added second source for exhaustive deepening batch
wba_chg_105,claim,wba_prj_01HREAL108,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL267,Added second source for exhaustive deepening batch
wba_chg_106,claim,wba_prj_01HREAL109,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL268,Added second source for exhaustive deepening batch
wba_chg_107,claim,wba_prj_01HREAL110,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL269,Added second source for exhaustive deepening batch
wba_chg_108,claim,wba_prj_01HREAL111,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL270,Added second source for exhaustive deepening batch
wba_chg_109,claim,wba_prj_01HREAL112,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL271,Added second source for exhaustive deepening batch
wba_chg_110,claim,wba_prj_01HREAL113,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL272,Added second source for exhaustive deepening batch
wba_chg_111,claim,wba_prj_01HREAL114,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL273,Added second source for exhaustive deepening batch
wba_chg_112,claim,wba_prj_01HREAL115,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL274,Added second source for exhaustive deepening batch
wba_chg_113,claim,wba_prj_01HREAL116,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL275,Added second source for exhaustive deepening batch
wba_chg_114,claim,wba_prj_01HREAL117,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL276,Added second source for exhaustive deepening batch
wba_chg_115,claim,wba_prj_01HREAL118,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL277,Added second source for exhaustive deepening batch
wba_chg_116,claim,wba_prj_01HREAL119,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL278,Added second source for exhaustive deepening batch
wba_chg_117,claim,wba_prj_01HREAL120,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL279,Added second source for exhaustive deepening batch
wba_chg_118,claim,wba_prj_01HREAL121,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL280,Added second source for exhaustive deepening batch
wba_chg_119,claim,wba_prj_01HREAL122,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL281,Added second source for exhaustive deepening batch
wba_chg_120,claim,wba_prj_01HREAL123,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL282,Added second source for exhaustive deepening batch
wba_chg_121,claim,wba_prj_01HREAL124,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL283,Added second source for exhaustive deepening batch
wba_chg_122,claim,wba_prj_01HREAL125,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL284,Added second source for exhaustive deepening batch
wba_chg_123,claim,wba_prj_01HREAL126,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL285,Added second source for exhaustive deepening batch
wba_chg_124,claim,wba_prj_01HREAL127,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL286,Added second source for exhaustive deepening batch
wba_chg_125,claim,wba_prj_01HREAL128,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL287,Added second source for exhaustive deepening batch
wba_chg_126,claim,wba_prj_01HREAL129,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL288,Added second source for exhaustive deepening batch
wba_chg_127,claim,wba_prj_01HREAL130,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL289,Added second source for exhaustive deepening batch
wba_chg_128,claim,wba_prj_01HREAL131,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL290,Added second source for exhaustive deepening batch
wba_chg_129,claim,wba_prj_01HREAL132,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL291,Added second source for exhaustive deepening batch
wba_chg_130,claim,wba_prj_01HREAL133,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL292,Added second source for exhaustive deepening batch
wba_chg_131,claim,wba_prj_01HREAL134,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL293,Added second source for exhaustive deepening batch
wba_chg_132,claim,wba_prj_01HREAL135,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL294,Added second source for exhaustive deepening batch
wba_chg_133,claim,wba_prj_01HREAL136,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL295,Added second source for exhaustive deepening batch
wba_chg_134,claim,wba_prj_01HREAL137,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL296,Added second source for exhaustive deepening batch
wba_chg_135,claim,wba_prj_01HREAL138,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL297,Added second source for exhaustive deepening batch
wba_chg_136,claim,wba_prj_01HREAL139,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL298,Added second source for exhaustive deepening batch
wba_chg_137,claim,wba_prj_01HREAL140,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL299,Added second source for exhaustive deepening batch
wba_chg_138,claim,wba_prj_01HREAL141,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL300,Added second source for exhaustive deepening batch
wba_chg_139,claim,wba_prj_01HREAL142,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL301,Added second source for exhaustive deepening batch
wba_chg_140,claim,wba_prj_01HREAL143,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL302,Added second source for exhaustive deepening batch
wba_chg_141,claim,wba_prj_01HREAL144,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL303,Added second source for exhaustive deepening batch
wba_chg_142,claim,wba_prj_01HREAL145,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL304,Added second source for exhaustive deepening batch
wba_chg_143,claim,wba_prj_01HREAL146,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL305,Added second source for exhaustive deepening batch
wba_chg_144,claim,wba_prj_01HREAL147,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL306,Added second source for exhaustive deepening batch
wba_chg_145,claim,wba_prj_01HREAL148,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL307,Added second source for exhaustive deepening batch
wba_chg_146,claim,wba_prj_01HREAL149,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL308,Added second source for exhaustive deepening batch
wba_chg_147,claim,wba_prj_01HREAL150,Alfred Shingai,2026-09-11,corroboration_status,uncorroborated,corroborated,wba_src_01HREAL309,Added second source for exhaustive deepening batch
wba_ch_01HREAL199,projects,wba_prj_01HREAL151,alfredshingai,2026-09-14,id,,wba_prj_01HREAL151,wba_clm_01HREAL154,add verified foreign contract Uganda Turkey
wba_ch_01HREAL200,projects,wba_prj_01HREAL152,alfredshingai,2026-09-14,id,,wba_prj_01HREAL152,wba_clm_01HREAL156,add verified foreign contract Uganda Egypt
wba_ch_01HREAL201,projects,wba_prj_01HREAL153,alfredshingai,2026-09-14,id,,wba_prj_01HREAL153,wba_clm_01HREAL157,add verified foreign contract Uganda Portugal
wba_ch_01HREAL202,projects,wba_prj_01HREAL154,alfredshingai,2026-09-14,id,,wba_prj_01HREAL154,wba_clm_01HREAL158,add verified Senegal China
wba_ch_01HREAL203,projects,wba_prj_01HREAL155,alfredshingai,2026-09-14,id,,wba_prj_01HREAL155,wba_clm_01HREAL159,add verified Senegal China
wba_ch_01HREAL204,projects,wba_prj_01HREAL156,alfredshingai,2026-09-14,id,,wba_prj_01HREAL156,wba_clm_01HREAL160,add verified Kenya China
wba_ch_01HREAL205,projects,wba_prj_01HREAL157,alfredshingai,2026-09-14,id,,wba_prj_01HREAL157,wba_clm_01HREAL161,add verified Kenya China
