id,edtf_string,precision,earliest,latest,display_string
wba_date_01HREAL057,2020-02,month,2020-02-01,2020-02-29,February 2020
wba_date_01HREAL058,2015,year,2015-01-01,2015-12-31,2015
wba_date_01HREAL059,2021,year,2021-01-01,2021-12-31,2021
wba_date_01HREAL060,2015-11,month,2015-11-01,2015-11-30,November 2015
wba_date_01HREAL061,2021-12-28,day,2021-12-28,2021-12-28,28 December 2021
wba_date_01HREAL062,2015,year,2015-01-01,2015-12-31,2015
wba_date_01HREAL063,2017,year,2017-01-01,2017-12-31,2017
wba_date_01HREAL064,2016-02,month,2016-02-01,2016-02-29,February 2016
wba_date_01HREAL065,2014,year,2014-01-01,2014-12-31,2014
wba_date_01HREAL066,2018-11,month,2018-11-01,2018-11-30,November 2018
wba_date_01HREAL067,2014-05,month,2014-05-01,2014-05-31,May 2014
wba_date_01HREAL068,2019-08-02,day,2019-08-02,2019-08-02,2 August 2019
wba_date_01HREAL069,2018-02-21,day,2018-02-21,2018-02-21,21 February 2018
wba_date_01HREAL070,2016,year,2016-01-01,2016-12-31,2016
wba_date_01HREAL071,2017-11,month,2017-11-01,2017-11-30,November 2017
wba_date_01HREAL072,2019,year,2019-01-01,2019-12-31,2019
wba_date_01HREAL073,2017-08-05,day,2017-08-05,2017-08-05,5 August 2017
wba_date_01HREAL074,2006-09,month,2006-09-01,2006-09-30,September 2006
wba_date_01HREAL075,2012-06,month,2012-06-01,2012-06-30,June 2012
wba_date_01HREAL076,2023-10-06,day,2023-10-06,2023-10-06,6 October 2023
wba_date_01HREAL077,2016,year,2016-01-01,2016-12-31,2016
wba_date_01HREAL078,2017-12-07,day,2017-12-07,2017-12-07,7 December 2017
wba_date_01HREAL079,2019-01,month,2019-01-01,2019-01-31,January 2019
wba_date_01HREAL080,2019-08,month,2019-08-01,2019-08-31,August 2019
wba_date_01HREAL081,2013,year,2013-01-01,2013-12-31,2013
wba_date_01HREAL082,2024-09-26,day,2024-09-26,2024-09-26,26 September 2024
wba_date_01HREAL083,2017-11,month,2017-11-01,2017-11-30,November 2017
wba_date_01HREAL084,2018-04,month,2018-04-01,2018-04-30,April 2018
wba_date_01HREAL085,1979,year,1979-01-01,1979-12-31,1979
wba_date_01HREAL086,1994,year,1994-01-01,1994-12-31,1994
wba_date_01HREAL087,1970,year,1970-01-01,1970-12-31,1970
wba_date_01HREAL088,1975,year,1975-01-01,1975-12-31,1975
wba_date_01HREAL089,1961,year,1961-01-01,1961-12-31,1961
wba_date_01HREAL090,1965,year,1965-01-01,1965-12-31,1965
wba_date_01HREAL091,1969,year,1969-01-01,1969-12-31,1969
wba_date_01HREAL092,1979,year,1979-01-01,1979-12-31,1979
wba_date_01HREAL093,1960,year,1960-01-01,1960-12-31,1960
wba_date_01HREAL094,1971-01-15,day,1971-01-15,1971-01-15,15 January 1971
wba_date_01HREAL095,1984,year,1984-01-01,1984-12-31,1984
wba_date_01HREAL096,1991,year,1991-01-01,1991-12-31,1991
wba_date_01HREAL097,1996,year,1996-01-01,1996-12-31,1996
wba_date_01HREAL098,2004,year,2004-01-01,2004-12-31,2004
wba_date_01HREAL099,2009-03-03,day,2009-03-03,2009-03-03,3 March 2009
wba_date_01HREAL100,2013,year,2013-01-01,2013-12-31,2013
wba_date_01HREAL101,2017-11-02,day,2017-11-02,2017-11-02,2 November 2017
wba_date_01HREAL102,2008,year,2008-01-01,2008-12-31,2008
wba_date_01HREAL103,2011,year,2011-01-01,2011-12-31,2011
wba_date_01HREAL104,2012,year,2012-01-01,2012-12-31,2012
wba_date_01HREAL105,2013-02-19,day,2013-02-19,2013-02-19,19 February 2013
wba_date_01HREAL106,2019,year,2019-01-01,2019-12-31,2019
wba_date_01HREAL107,2013,year,2013-01-01,2013-12-31,2013
wba_date_01HREAL108,2019,year,2019-01-01,2019-12-31,2019
wba_date_01HREAL109,2022,year,2022-01-01,2022-12-31,2022
wba_date_01HREAL110,2023,year,2023-01-01,2023-12-31,2023
wba_date_01HREAL111,2017,year,2017-01-01,2017-12-31,2017
wba_date_01HREAL112,2028,year,2028-01-01,2028-12-31,2028
wba_date_01HREAL113,2012,year,2012-01-01,2012-12-31,2012
wba_date_01HREAL114,2024,year,2024-01-01,2024-12-31,2024
wba_date_01HREAL115,2006,year,2006-01-01,2006-12-31,2006
wba_date_01HREAL116,2013,year,2013-01-01,2013-12-31,2013
wba_date_01HREAL117,2007,year,2007-01-01,2007-12-31,2007
wba_date_01HREAL118,2009,year,2009-01-01,2009-12-31,2009
wba_date_01HREAL119,2006,year,2006-01-01,2006-12-31,2006
wba_date_01HREAL120,2018-02-22,day,2018-02-22,2018-02-22,22 February 2018
wba_date_01HREAL121,2009,year,2009-01-01,2009-12-31,2009
wba_date_01HREAL122,2012,year,2012-01-01,2012-12-31,2012
wba_date_01HREAL123,2020-12,month,2020-12-01,2020-12-31,December 2020
wba_date_01HREAL124,2021-11,month,2021-11-01,2021-11-30,November 2021
wba_date_01HREAL125,2023-01-11,day,2023-01-11,2023-01-11,11 January 2023
wba_date_01HREAL126,2023,year,2023-01-01,2023-12-31,2023
wba_date_01HREAL127,2025,year,2025-01-01,2025-12-31,2025
wba_date_01HREAL128,2007,year,2007-01-01,2007-12-31,2007
wba_date_01HREAL129,2018-07-12,day,2018-07-12,2018-07-12,12 July 2018
wba_date_01HREAL130,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL131,2024,year,2024-01-01,2024-12-31,2024
wba_date_01HREAL132,2022,year,2022-01-01,2022-12-31,2022
wba_date_01HREAL133,2024,year,2024-01-01,2024-12-31,2024
wba_date_01HREAL134,1971,year,1971-01-01,1971-12-31,1971
wba_date_01HREAL135,2009,year,2009-01-01,2009-12-31,2009
wba_date_01HREAL136,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL137,2022,year,2022-01-01,2022-12-31,2022
wba_date_01HREAL138,2018-10-17,day,2018-10-17,2018-10-17,17 October 2018
wba_date_01HREAL139,2025-06-25,day,2025-06-25,2025-06-25,25 June 2025
wba_date_01HREAL140,2022-07-18,day,2022-07-18,2022-07-18,18 July 2022
wba_date_01HREAL141,2026-01,month,2026-01-01,2026-01-31,January 2026
wba_date_01HREAL142,2018,year,2018-01-01,2018-12-31,2018
wba_date_01HREAL143,2021-08,month,2021-08-01,2021-08-31,August 2021
wba_date_01HREAL144,2023-05-23,day,2023-05-23,2023-05-23,23 May 2023
wba_date_01HREAL145,2009-11-27,day,2009-11-27,2009-11-27,27 November 2009
wba_date_01HREAL146,2012-05-28,day,2012-05-28,2012-05-28,28 May 2012
wba_date_01HREAL147,2014-07,month,2014-07-01,2014-07-31,July 2014
wba_date_01HREAL148,2008-03,month,2008-03-01,2008-03-31,March 2008
wba_date_01HREAL149,2016-03-01,day,2016-03-01,2016-03-01,1 March 2016
wba_date_01HREAL150,2003,year,2003-01-01,2003-12-31,2003
wba_date_01HREAL151,2012,year,2012-01-01,2012-12-31,2012
wba_date_01HREAL152,2021,year,2021-01-01,2021-12-31,2021
wba_date_01HREAL153,2012-07,month,2012-07-01,2012-07-31,July 2012
wba_date_01HREAL154,2015-05,month,2015-05-01,2015-05-31,May 2015
wba_date_01HREAL155,2017-11-15,day,2017-11-15,2017-11-15,15 November 2017
wba_date_01HREAL156,1998,year,1998-01-01,1998-12-31,1998
wba_date_01HREAL157,2001-09,month,2001-09-01,2001-09-30,September 2001
wba_date_01HREAL158,2016-07-20,day,2016-07-20,2016-07-20,20 July 2016
wba_date_01HREAL159,2015,year,2015-01-01,2015-12-31,2015
wba_date_01HREAL160,2019-01-21,day,2019-01-21,2019-01-21,21 January 2019
wba_date_01HREAL161,2025-06-16,day,2025-06-16,2025-06-16,16 June 2025
wba_date_01HREAL162,1991-02,month,1991-02-01,1991-02-28,February 1991
wba_date_01HREAL163,1997-05,month,1997-05-01,1997-05-31,May 1997
wba_date_01HREAL164,2016-12-02,day,2016-12-02,2016-12-02,2 December 2016
wba_date_01HREAL165,1984,year,1984-01-01,1984-12-31,1984
wba_date_01HREAL166,2006,year,2006-01-01,2006-12-31,2006
wba_date_01HREAL167,2009,year,2009-01-01,2009-12-31,2009
wba_date_01HREAL168,1979-04,month,1979-04-01,1979-04-30,April 1979
wba_date_01HREAL169,1986-09-17,day,1986-09-17,1986-09-17,17 September 1986
wba_date_01HREAL170,2014-11-30,day,2014-11-30,2014-11-30,30 November 2014
wba_date_01HREAL171,2016-04-30,day,2016-04-30,2016-04-30,30 April 2016
wba_date_01HREAL172,2017-07-31,day,2017-07-31,2017-07-31,31 July 2017
wba_date_01HREAL173,2019-10-04,day,2019-10-04,2019-10-04,4 October 2019
wba_date_01HREAL174,2024-06,month,2024-06-01,2024-06-30,June 2024
wba_date_01HREAL175,2022-06-24,day,2022-06-24,2022-06-24,24 June 2022
wba_date_01HREAL176,2019-02-18,day,2019-02-18,2019-02-18,18 February 2019
wba_date_01HREAL177,2019-12,month,2019-12-01,2019-12-31,December 2019
wba_date_01HREAL178,2008,year,2008-01-01,2008-12-31,2008
wba_date_01HREAL179,2012-11,month,2012-11-01,2012-11-30,November 2012
wba_date_01HREAL181,2023,year,2023-01-01,2023-12-31,2023
wba_date_01HREAL182,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL183,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL184,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL185,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL186,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL187,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL188,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL189,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL190,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL191,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL192,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL193,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL194,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL195,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL196,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL197,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL198,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL199,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL200,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL201,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL202,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL203,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL204,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL205,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL206,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL207,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL208,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL209,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL210,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL211,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL212,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL213,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL214,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL215,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL216,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL217,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL218,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL219,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL220,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL221,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL222,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL223,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL224,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL225,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL226,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL227,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL228,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL229,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL230,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL231,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL282,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL283,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL284,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL285,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL286,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL287,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL288,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL289,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL290,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL291,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL292,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL293,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL294,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL295,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL296,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL297,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL298,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL299,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL300,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL301,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL302,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL303,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL304,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL305,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL306,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL307,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL308,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL309,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL310,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL311,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL312,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL313,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL314,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL315,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL316,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL317,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL318,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL319,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL320,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL321,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL322,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL323,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL324,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL325,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL326,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL327,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL328,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL329,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL330,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL331,2020,year,2020-01-01,2020-12-31,2020
wba_date_01HREAL332,2024-10-14,day,2024-10-14,2024-10-14,14 October 2024
wba_date_01HREAL333,2024-10-24,day,2024-10-24,2024-10-24,24 October 2024
wba_date_01HREAL334,2024-10-16,day,2024-10-16,2024-10-16,16 October 2024
wba_date_01HREAL335,2024-11-08,day,2024-11-08,2024-11-08,8 November 2024
wba_date_01HREAL336,2024-12-09,day,2024-12-09,2024-12-09,9 December 2024
wba_date_01HREAL337,2024-05-14,day,2024-05-14,2024-05-14,14 May 2024
wba_date_01HREAL338,2023-04,month,2023-04-01,2023-04-30,April 2023
wba_date_01HREAL339,2026-01,month,2026-01-01,2026-01-31,January 2026
wba_date_01HREAL340,2024-07-09,day,2024-07-09,2024-07-09,9 July 2024
wba_date_01HREAL341,2021-01-20,day,2021-01-20,2021-01-20,20 January 2021
wba_date_01HREAL342,2025-10-31,day,2025-10-31,2025-10-31,31 October 2025
wba_date_01HREAL342,2025-11-19,day,2025-11-19,2025-11-19,19 November 2025
wba_date_01HREAL343,2025-01-30,day,2025-01-30,2025-01-30,30 January 2025
wba_date_01HREAL344,2025-10-27,day,2025-10-27,2025-10-27,27 October 2025
wba_date_01HREAL345,2026-04-08,day,2026-04-08,2026-04-08,8 April 2026
wba_date_01HREAL346,2023-07-27,day,2023-07-27,2023-07-27,27 July 2023
wba_date_01HREAL347,2019-11-13,day,2019-11-13,2019-11-13,13 November 2019
wba_date_01HREAL348,2026-09-20,day,2026-09-20,2026-09-20,20 September 2026
wba_date_01HREAL349,2022-11-07,day,2022-11-07,2022-11-07,7 November 2022
wba_date_01HREAL350,2022-12-03,day,2022-12-03,2022-12-03,3 December 2022
wba_date_01HREAL351,2022-12-09,day,2022-12-09,2022-12-09,9 December 2022
wba_date_01HREAL352,2016-12-15,day,2016-12-15,2016-12-15,15 December 2016
wba_date_01HREAL353,2016-12-16,day,2016-12-16,2016-12-16,16 December 2016
wba_date_01HREAL354,2007-07,month,2007-07-01,2007-07-31,July 2007
wba_date_01HREAL355,2009-12,month,2009-12-01,2009-12-31,December 2009
wba_date_01HREAL356,2001-06-22,day,2001-06-22,2001-06-22,22 June 2001
wba_date_01HREAL357,2008-10-09,day,2008-10-09,2008-10-09,9 October 2008
wba_date_01HREAL358,2013-01-15,day,2013-01-15,2013-01-15,15 January 2013
wba_date_01HREAL359,2023-08-10,day,2023-08-10,2023-08-10,10 August 2023
wba_date_01HREAL360,2009-03-03,day,2009-03-03,2009-03-03,3 March 2009
wba_date_01HREAL361,2009-03-04,day,2009-03-04,2009-03-04,4 March 2009
wba_date_01HREAL362,2025-01-02,day,2025-01-02,2025-01-02,2 January 2025
wba_date_01HREAL363,2001,year,2001-01-01,2001-12-31,2001
wba_date_01HREAL364,2018-04-26,day,2018-04-26,2018-04-26,26 April 2018
wba_date_01HREAL365,2023-02-10,day,2023-02-10,2023-02-10,10 February 2023
wba_date_01HREAL366,2022-05-19,day,2022-05-19,2022-05-19,19 May 2022
wba_date_01HREAL367,2022-06-03,day,2022-06-03,2022-06-03,3 June 2022
wba_date_01HREAL368,2024-07-25,day,2024-07-25,2024-07-25,25 July 2024
wba_date_01HREAL369,2012-10-11,day,2012-10-11,2012-10-11,11 October 2012
wba_date_01HREAL370,2012-10-12,day,2012-10-12,2012-10-12,12 October 2012
wba_date_01HREAL371,2020-05-14,day,2020-05-14,2020-05-14,14 May 2020
wba_date_01HREAL372,2014,year,2014-01-01,2014-12-31,2014
wba_date_01HREAL373,2014-09-21,day,2014-09-21,2014-09-21,21 September 2014
wba_date_01HREAL374,2011-04-26,day,2011-04-26,2011-04-26,26 April 2011
wba_date_01HREAL375,2010-11-10,day,2010-11-10,2010-11-10,10 November 2010
wba_date_01HREAL376,2017-05-24,day,2017-05-24,2017-05-24,24 May 2017
wba_date_01HREAL377,2018-06-22,day,2018-06-22,2018-06-22,22 June 2018
wba_date_01HREAL378,2021-06-08,day,2021-06-08,2021-06-08,8 June 2021
wba_date_01HREAL379,2019-11-30,day,2019-11-30,2019-11-30,30 November 2019
wba_date_01HREAL380,2019-12-01,day,2019-12-01,2019-12-01,1 December 2019
wba_date_01HREAL381,2017-10-14,day,2017-10-14,2017-10-14,14 October 2017
wba_date_01HREAL382,2017-10-16,day,2017-10-16,2017-10-16,16 October 2017
wba_date_01HREAL383,2017-11-15,day,2017-11-15,2017-11-15,15 November 2017
wba_date_01HREAL384,2020-03-14,day,2020-03-14,2020-03-14,14 March 2020
wba_date_01HREAL385,2014-08,month,2014-08-01,2014-08-31,August 2014
wba_date_01HREAL386,2018-10,month,2018-10-01,2018-10-31,October 2018
wba_date_01HREAL387,2007-08-14,day,2007-08-14,2007-08-14,14 August 2007
wba_date_01HREAL388,2015,year,2015-01-01,2015-12-31,2015
wba_date_01HREAL389,2017-12,month,2017-12-01,2017-12-31,December 2017
wba_date_01HREAL390,2024-02-28,day,2024-02-28,2024-02-28,28 February 2024
wba_date_01HREAL391,2018-07-27,day,2018-07-27,2018-07-27,27 July 2018
wba_date_01HREAL392,2018-06,month,2018-06-01,2018-06-30,June 2018
wba_date_01HREAL393,2022-01-19,day,2022-01-19,2022-01-19,19 January 2022
wba_date_01HREAL394,2013,year,2013-01-01,2013-12-31,2013
wba_date_01HREAL395,2021-12-15,day,2021-12-15,2021-12-15,15 December 2021
wba_date_01HREAL396,2026-01-26,day,2026-01-26,2026-01-26,26 January 2026
wba_date_01HREAL397,2026-07-31,day,2026-07-31,2026-07-31,31 July 2026
wba_date_01HREAL398,2022-06-29,day,2022-06-29,2022-06-29,29 June 2022
wba_date_01HREAL399,2022-07-04,day,2022-07-04,2022-07-04,4 July 2022
wba_date_01HREAL400,2026-03-21,day,2026-03-21,2026-03-21,21 March 2026
wba_date_01HREAL401,2018-04,month,2018-04-01,2018-04-30,April 2018
wba_date_01HREAL402,2025-08-14,day,2025-08-14,2025-08-14,14 August 2025
wba_date_01HREAL403,2007-03-25,day,2007-03-25,2007-03-25,25 March 2007
wba_date_01HREAL404,2007-05-25,day,2007-05-25,2007-05-25,25 May 2007
wba_date_01HREAL405,2025-09-17,day,2025-09-17,2025-09-17,17 September 2025
wba_date_01HREAL406,2024-03-05,day,2024-03-05,2024-03-05,5 March 2024
wba_date_01HREAL407,2021-07,month,2021-07-01,2021-07-31,July 2021
wba_date_01HREAL408,2021-06-22,day,2021-06-22,2021-06-22,22 June 2021
wba_date_01HREAL409,2021-06-23,day,2021-06-23,2021-06-23,23 June 2021
wba_date_01HREAL410,2011-08-10,day,2011-08-10,2011-08-10,10 August 2011
wba_date_01HREAL411,2011-06-29,day,2011-06-29,2011-06-29,29 June 2011
wba_date_01HREAL412,2020-10-21,day,2020-10-21,2020-10-21,21 October 2020
wba_date_01HREAL413,2025-08-05,day,2025-08-05,2025-08-05,5 August 2025
wba_date_01HREAL414,2018-03-31,day,2018-03-31,2018-03-31,31 March 2018
wba_date_01HREAL415,2025-08-25,day,2025-08-25,2025-08-25,25 August 2025
wba_date_01HREAL416,2013-01-01,day,2013-01-01,2013-01-01,1 January 2013
wba_date_01HREAL417,2019-11-21,day,2019-11-21,2019-11-21,21 November 2019
wba_date_01HREAL418,2019-11-26,day,2019-11-26,2019-11-26,26 November 2019
wba_date_01HREAL419,2017-08,month,2017-08-01,2017-08-31,August 2017
wba_date_01HREAL420,2020-12-19,day,2020-12-19,2020-12-19,19 December 2020
