id,project_id,event_type,date_id,source_claim,notes
wba_evt_01HREAL028,wba_prj_01HREAL024,commissioned,wba_date_01HREAL039,wba_clm_01HREAL032,Maputo opened 2018-11-10
wba_evt_01HREAL029,wba_prj_01HREAL026,construction_start,wba_date_01HREAL041,wba_clm_01HREAL034,Dakar TER start 2016
wba_evt_01HREAL030,wba_prj_01HREAL026,commissioned,wba_date_01HREAL042,wba_clm_01HREAL034,Dakar commissioned 2021
wba_evt_01HREAL031,wba_prj_01HREAL027,commissioned,wba_date_01HREAL044,wba_clm_01HREAL035,Bui commissioned 2013
wba_evt_01HREAL032,wba_prj_01HREAL028,commissioned,wba_date_01HREAL046,wba_clm_01HREAL036,Lauca first unit 2017
wba_evt_01HREAL033,wba_prj_01HREAL030,commissioned,wba_date_01HREAL049,wba_clm_01HREAL038,Malawi fibre 2018-04
wba_evt_01HREAL034,wba_prj_01HREAL031,commissioned,wba_date_01HREAL052,wba_clm_01HREAL039,Tokwe-Mukosi completed Dec 2016
wba_evt_01HREAL035,wba_prj_01HREAL033,commissioned,wba_date_01HREAL055,wba_clm_01HREAL041,Olkaria commissioned 2015
wba_evt_01HREAL036,wba_prj_01HREAL034,construction_start,wba_date_01HREAL055,wba_clm_01HREAL042,Outer Ring launched Jan 2015
wba_evt_01HREAL037,wba_prj_01HREAL036,commissioned,wba_date_01HREAL058,wba_clm_01HREAL043,KKIA commissioned 2021
wba_evt_01HREAL038,wba_prj_01HREAL037,construction_start,wba_date_01HREAL061,wba_clm_01HREAL044,Tanzania SGR signed Dec 2021
wba_evt_01HREAL039,wba_prj_01HREAL041,commissioned,wba_date_01HREAL064,wba_clm_01HREAL048,Noor Phase I 2016
wba_evt_01HREAL040,wba_prj_01HREAL042,commissioned,wba_date_01HREAL068,wba_clm_01HREAL049,Walvis Bay launched 2 Aug 2019
wba_evt_01HREAL041,wba_prj_01HREAL043,commissioned,wba_date_01HREAL069,wba_clm_01HREAL050,Kribi Phase I 2018
wba_evt_01HREAL042,wba_prj_01HREAL044,commissioned,wba_date_01HREAL075,wba_clm_01HREAL051,Gautrain commissioned 2012
wba_evt_01HREAL043,wba_prj_01HREAL045,commissioned,wba_date_01HREAL076,wba_clm_01HREAL052,Busanga commissioned Oct 2023
wba_evt_01HREAL044,wba_prj_01HREAL046,construction_start,wba_date_01HREAL077,wba_clm_01HREAL053,New Capital CBD structures 2022
wba_evt_01HREAL045,wba_prj_01HREAL047,commissioned,wba_date_01HREAL078,wba_clm_01HREAL054,AIBD opened Dec 2017
wba_evt_01HREAL046,wba_prj_01HREAL048,commissioned,wba_date_01HREAL080,wba_clm_01HREAL055,BK Arena inaugurated Aug 2019
wba_evt_01HREAL047,wba_prj_01HREAL049,commissioned,wba_date_01HREAL082,wba_clm_01HREAL056,Karuma commissioned Sep 2024
wba_evt_01HREAL048,wba_prj_01HREAL050,commissioned,wba_date_01HREAL084,wba_clm_01HREAL058,Zagtouli commissioned Nov 2017
wba_evt_01HREAL051,wba_prj_01HREAL053,commissioned,wba_date_01HREAL090,wba_clm_01HREAL061,Akosombo commissioned 1965
wba_evt_01HREAL053,wba_prj_01HREAL055,commissioned,wba_date_01HREAL094,wba_clm_01HREAL063,Aswan inaugurated 1971
wba_evt_01HREAL054,wba_prj_01HREAL056,commissioned,wba_date_01HREAL096,wba_clm_01HREAL064,GMR Phase I 1991
wba_evt_01HREAL055,wba_prj_01HREAL056,delayed,wba_date_01HREAL102,wba_clm_01HREAL064,GMR Phase III-IV delayed post-2011
wba_evt_01HREAL060,wba_prj_01HREAL061,suspended,wba_date_01HREAL106,wba_clm_01HREAL069,Bagamoyo suspended 2019
wba_evt_01HREAL061,wba_prj_01HREAL062,construction_started,wba_date_01HREAL109,wba_clm_01HREAL070,EACOP FID 2022
wba_evt_01HREAL064,wba_prj_01HREAL065,commissioned,wba_date_01HREAL114,wba_clm_01HREAL073,Djamaa inaugurated 2024
wba_evt_01HREAL067,wba_prj_01HREAL068,cancelled,wba_date_01HREAL120,wba_clm_01HREAL076,Doraleh cancelled 2018
wba_evt_01HREAL068,wba_prj_01HREAL069,commissioned,wba_date_01HREAL122,wba_clm_01HREAL077,Morupule B commissioned 2012-2014 defective
wba_evt_01HREAL077,wba_prj_01HREAL078,commissioned,wba_date_01HREAL143,wba_clm_01HREAL061,Boali II completed Aug 2021
wba_evt_01HREAL079,wba_prj_01HREAL080,commissioned,wba_date_01HREAL146,wba_clm_01HREAL063,Bambao opened May 2017
wba_evt_01HREAL080,wba_prj_01HREAL081,commissioned,wba_date_01HREAL149,wba_clm_01HREAL064,Pointe-Noire Brazzaville 2016
wba_evt_01HREAL085,wba_prj_01HREAL086,commissioned,wba_date_01HREAL160,wba_clm_01HREAL069,Senegambia Jan 2019
wba_evt_01HREAL086,wba_prj_01HREAL087,commissioned,wba_date_01HREAL161,wba_clm_01HREAL070,Bissau-Safim Jun 2025
wba_evt_01HREAL089,wba_prj_01HREAL090,proposed,wba_date_01HREAL164,wba_clm_01HREAL073,Sahofika ESIA 2019
wba_evt_01HREAL092,wba_prj_01HREAL093,commissioned,wba_date_01HREAL173,wba_clm_01HREAL076,Metro Express Oct 2019
wba_evt_01HREAL093,wba_prj_01HREAL094,proposed,wba_date_01HREAL174,wba_clm_01HREAL077,Sao Tome proposed 2024
wba_evt_01HREAL094,wba_prj_01HREAL151,signed,wba_date_01HREAL332,wba_clm_01HREAL154,Uganda SGR signed Oct 2024
wba_evt_01HREAL095,wba_prj_01HREAL152,signed,wba_date_01HREAL334,wba_clm_01HREAL156,Iganga road signed Oct 2024
wba_evt_01HREAL096,wba_prj_01HREAL153,signed,wba_date_01HREAL335,wba_clm_01HREAL157,Lusalira road financing signed Nov 2024
wba_evt_01HREAL097,wba_prj_01HREAL154,signed,wba_date_01HREAL337,wba_clm_01HREAL158,Ndande-Gueoul signed May 2024
wba_evt_01HREAL098,wba_prj_01HREAL155,signed,wba_date_01HREAL338,wba_clm_01HREAL159,Mekhe-Ndande signed Apr 2023
wba_evt_01HREAL099,wba_prj_01HREAL156,signed,wba_date_01HREAL339,wba_clm_01HREAL160,Galana signed Jan 2026
wba_evt_01HREAL100,wba_prj_01HREAL157,construction_start,wba_date_01HREAL340,wba_clm_01HREAL161,Umaa start Jul 2024
wba_evt_01HREAL101,wba_prj_01HREAL136,signed,wba_date_01HREAL341,wba_clm_01HREAL162,Kano-Maradi signed Jan 2021 Mota-Engil
wba_evt_01HREAL102,wba_prj_01HREAL128,contractor_replaced,wba_date_01HREAL342,wba_clm_01HREAL163,Rironi-Mau VINCI replaced by CRBC preferred Oct 2025
wba_evt_01HREAL103,wba_prj_01HREAL158,awarded,wba_date_01HREAL342,wba_clm_01HREAL164,Bujumbura-Gitaza awarded Nov 2024
wba_evt_01HREAL104,wba_prj_01HREAL159,signed,wba_date_01HREAL343,wba_clm_01HREAL165,Uvinza-Musongati signed Jan 2025
wba_evt_01HREAL105,wba_prj_01HREAL160,signed,wba_date_01HREAL344,wba_clm_01HREAL166,Santiago desalination signed Oct 2025
wba_evt_01HREAL106,wba_prj_01HREAL161,signed,wba_date_01HREAL345,wba_clm_01HREAL167,ENAPOR vessel signed Apr 2026
wba_evt_01HREAL107,wba_prj_01HREAL162,signed,wba_date_01HREAL346,wba_clm_01HREAL168,Cape Verde airports signed Jul 2023
wba_evt_01HREAL108,wba_prj_01HREAL163,construction_start,wba_date_01HREAL347,wba_clm_01HREAL169,Habela road start Nov 2019
wba_evt_01HREAL109,wba_prj_01HREAL164,financial_close,wba_date_01HREAL356,wba_clm_01HREAL171,EIB EUR144m Chad-Cameroon lending Jun 2001
wba_evt_01HREAL110,wba_prj_01HREAL165,awarded,wba_date_01HREAL349,wba_clm_01HREAL173,Polihali Dam SUN JV awarded Nov 2022
wba_evt_01HREAL111,wba_prj_01HREAL166,commissioned,wba_date_01HREAL350,wba_clm_01HREAL174,Gouina completion ceremony Dec 2022
wba_evt_01HREAL112,wba_prj_01HREAL167,partially_completed,wba_date_01HREAL352,wba_clm_01HREAL175,Mount Coffee first turbine Dec 2016 full 88MW 2017
wba_evt_01HREAL113,wba_prj_01HREAL168,commissioned,wba_date_01HREAL355,wba_clm_01HREAL177,Enfidha operating Dec 2009
wba_evt_01HREAL114,wba_prj_01HREAL169,financial_close,wba_date_01HREAL358,wba_clm_01HREAL179,Lome IFC EUR225m debt package Jan 2013
wba_evt_01HREAL115,wba_prj_01HREAL170,suspended,wba_date_01HREAL359,wba_clm_01HREAL182,Kandadji construction suspended Aug 2023
wba_evt_01HREAL116,wba_prj_01HREAL171,commissioned,wba_date_01HREAL360,wba_clm_01HREAL184,Merowe opened Mar 2009
wba_evt_01HREAL117,wba_prj_01HREAL172,partially_completed,wba_date_01HREAL362,wba_clm_01HREAL186,GTA first gas Jan 2025 commissioning
wba_evt_01HREAL118,wba_prj_01HREAL173,completed,wba_date_01HREAL363,wba_clm_01HREAL191,Maguga completed 2001
wba_evt_01HREAL119,wba_prj_01HREAL174,awarded,wba_date_01HREAL365,wba_clm_01HREAL194,Port Victoria dredging awarded Jan De Nul 2023
wba_evt_01HREAL120,wba_prj_01HREAL175,commissioned,wba_date_01HREAL366,wba_clm_01HREAL195,Freedom Bridge opened May 2022
wba_evt_01HREAL121,wba_prj_01HREAL176,signed,wba_date_01HREAL368,wba_clm_01HREAL199,Banjul 30yr concession signed Jul 2024
wba_evt_01HREAL122,wba_prj_01HREAL177,commissioned,wba_date_01HREAL369,wba_clm_01HREAL201,Djibloho inaugurated Oct 2012
wba_evt_01HREAL123,wba_prj_01HREAL178,completed,wba_date_01HREAL386,wba_clm_01HREAL207,Neckartal completed Oct 2018
wba_evt_01HREAL124,wba_prj_01HREAL179,signed,wba_date_01HREAL372,wba_clm_01HREAL208,Mogadishu 20yr operate agreement 2014
wba_evt_01HREAL125,wba_prj_01HREAL180,commissioned,wba_date_01HREAL375,wba_clm_01HREAL212,Imboulou provisional acceptance Nov 2010
wba_evt_01HREAL126,wba_prj_01HREAL181,commissioned,wba_date_01HREAL376,wba_clm_01HREAL213,Doraleh opened May 2017
wba_evt_01HREAL127,wba_prj_01HREAL182,commissioned,wba_date_01HREAL377,wba_clm_01HREAL216,Zongo II inaugurated Jun 2018
wba_evt_01HREAL128,wba_prj_01HREAL183,commissioned,wba_date_01HREAL378,wba_clm_01HREAL218,Tedzani IV inaugurated Jun 2021
wba_evt_01HREAL129,wba_prj_01HREAL184,commissioned,wba_date_01HREAL379,wba_clm_01HREAL220,Samendeni inaugurated Nov 2019
wba_evt_01HREAL130,wba_prj_01HREAL185,commissioned,wba_date_01HREAL381,wba_clm_01HREAL223,Owendo inaugurated Oct 2017
wba_evt_01HREAL131,wba_prj_01HREAL186,commissioned,wba_date_01HREAL383,wba_clm_01HREAL225,Hirgigo inaugurated Nov 2017
wba_evt_01HREAL132,wba_prj_01HREAL187,commissioned,wba_date_01HREAL388,wba_clm_01HREAL229,Bumbuna observed operating H1 2015 original 2009 pending primary
wba_evt_01HREAL133,wba_prj_01HREAL188,suspended,wba_date_01HREAL389,wba_clm_01HREAL232,Ubari evacuated 3rd time Dec 2017 98 percent
wba_evt_01HREAL134,wba_prj_01HREAL189,financial_close,wba_date_01HREAL390,wba_clm_01HREAL235,El-Maarouf OPEC 17m loan Feb 2024
wba_evt_01HREAL135,wba_prj_01HREAL190,commissioned,wba_date_01HREAL392,wba_clm_01HREAL238,Bagatelle launched Jun 2018
wba_evt_01HREAL136,wba_prj_01HREAL191,commissioned,wba_date_01HREAL394,wba_clm_01HREAL241,Felou commercial operation 2013
wba_evt_01HREAL137,wba_prj_01HREAL192,commissioned,wba_date_01HREAL395,wba_clm_01HREAL242,Nouakchott inaugurated Dec 2021
wba_evt_01HREAL138,wba_prj_01HREAL193,construction_start,wba_date_01HREAL396,wba_clm_01HREAL245,Bissau dredging launched Jan 2026
wba_evt_01HREAL139,wba_prj_01HREAL194,signed,wba_date_01HREAL398,wba_clm_01HREAL247,Sao Tome airport agreement signed Jun 2022
wba_evt_01HREAL140,wba_prj_01HREAL195,partially_completed,wba_date_01HREAL400,wba_clm_01HREAL250,Toamasina 333m quay delivered Mar 2026
wba_evt_01HREAL141,wba_prj_01HREAL196,construction_start,wba_date_01HREAL407,wba_clm_01HREAL255,Cotonou Terminal 5 broke ground Jul 2021
wba_evt_01HREAL142,wba_prj_01HREAL197,commissioned,wba_date_01HREAL404,wba_clm_01HREAL259,EG LNG FID Jun 2004 completed 2007
wba_evt_01HREAL143,wba_prj_01HREAL198,construction_start,wba_date_01HREAL405,wba_clm_01HREAL262,ArcelorMittal siding start Sep 2025
wba_evt_01HREAL144,wba_prj_01HREAL199,signed,wba_date_01HREAL406,wba_clm_01HREAL265,Phosphate railway loan signed Mar 2024
wba_evt_01HREAL145,wba_prj_01HREAL200,commissioned,wba_date_01HREAL408,wba_clm_01HREAL267,Blitta inaugurated Jun 2021
wba_evt_01HREAL146,wba_prj_01HREAL201,signed,wba_date_01HREAL410,wba_clm_01HREAL270,Metolong contract signed Aug 2011
wba_evt_01HREAL147,wba_prj_01HREAL202,commissioned,wba_date_01HREAL411,wba_clm_01HREAL272,Djermaya inaugurated Jun 2011
wba_evt_01HREAL148,wba_prj_01HREAL203,signed,wba_date_01HREAL412,wba_clm_01HREAL274,Agadez EPC signed Oct 2020
wba_evt_01HREAL149,wba_prj_01HREAL204,construction_start,wba_date_01HREAL413,wba_clm_01HREAL277,Mpakeni 31 percent Aug 2025
wba_evt_01HREAL150,wba_prj_01HREAL205,construction_start,wba_date_01HREAL414,wba_clm_01HREAL279,CLSG Sierra Leone ROW handed over
